id,tipo,seccion,b_cm,h_cm,A_m2,nodo_i,nodo_j,xi_cm,yi_cm,zi_cm,xj_cm,yj_cm,zj_cm,L_m,Fx_kN,Fy_kN,Fz_kN,Mx_kNm,My_kNm,Mz_kNm
1,column,70x70,70.0,70.0,0.49,1,7,0,0,0,0,0,356.0,3.56,0.515009,0.373231,0.0,-0.664351,0.916715,-0.013772
2,column,70x70,70.0,70.0,0.49,4,10,-1000,0,0,-1000,0,356.0,3.56,0.515009,0.498617,0.0,-0.887538,0.916715,-0.013772
3,column,70x70,70.0,70.0,0.49,2,8,0,725.0,0,0,725.0,356.0,3.56,0.605913,0.373231,0.0,-0.664351,1.078526,-0.013772
4,column,70x70,70.0,70.0,0.49,5,11,-1000,725.0,0,-1000,725.0,356.0,3.56,0.605913,0.498617,0.0,-0.887538,1.078526,-0.013772
5,column,70x70,70.0,70.0,0.49,3,9,0,1615.0,0,0,1615.0,356.0,3.56,0.717507,0.373231,0.0,-0.664351,1.277162,-0.013772
6,column,70x70,70.0,70.0,0.49,6,12,-1000,1615.0,0,-1000,1615.0,356.0,3.56,0.717507,0.498617,0.0,-0.887538,1.277162,-0.013772
7,beam_x,60x80,60.0,80.0,0.48,7,10,0,0,356.0,-1000,0,356.0,10.0,0.0,-0.0,2.479687,0.0,4.132812,0.0
8,beam_x,60x80,60.0,80.0,0.48,8,11,0,725.0,356.0,-1000,725.0,356.0,10.0,0.0,-0.0,24.263672,0.0,40.439453,0.0
9,beam_x,60x80,60.0,80.0,0.48,9,12,0,1615.0,356.0,-1000,1615.0,356.0,10.0,0.0,-0.0,7.129688,0.0,11.882812,0.0
10,beam_y,60x80,60.0,80.0,0.48,7,8,0,0,356.0,0,725.0,356.0,7.25,-0.0,0.0,24.501562,29.606055,-0.0,0.0
11,beam_y,60x80,60.0,80.0,0.48,10,11,-1000,0,356.0,-1000,725.0,356.0,7.25,-0.0,0.0,24.501562,29.606055,-0.0,0.0
12,beam_y,60x80,60.0,80.0,0.48,8,9,0,725.0,356.0,0,1615.0,356.0,8.9,-0.0,0.0,56.889844,84.386602,-0.0,0.0
13,beam_y,60x80,60.0,80.0,0.48,11,12,-1000,725.0,356.0,-1000,1615.0,356.0,8.9,-0.0,0.0,56.889844,84.386602,-0.0,0.0
14,column,70x70,70.0,70.0,0.49,7,25,0,0,356.0,0,0,712.0,3.56,-0.115946,4.797278,677.69549,-5.185244,0.222242,0.012302
15,column,70x70,70.0,70.0,0.49,10,29,-1000,0,356.0,-1000,0,712.0,3.56,-9.753507,9.829011,997.168664,-11.08978,-11.21433,0.012302
16,column,70x70,70.0,70.0,0.49,8,26,0,725.0,356.0,0,725.0,712.0,3.56,-4.830674,7.634801,1194.383203,-8.552437,-5.420748,0.012302
17,column,70x70,70.0,70.0,0.49,11,30,-1000,725.0,356.0,-1000,725.0,712.0,3.56,-15.262691,7.873055,1916.335912,-8.768712,-17.800075,0.012302
18,column,70x70,70.0,70.0,0.49,9,27,0,1615.0,356.0,0,1615.0,712.0,3.56,-1.412215,-13.474533,851.225331,16.497305,-1.423321,0.012302
19,column,70x70,70.0,70.0,0.49,12,31,-1000,1615.0,356.0,-1000,1615.0,712.0,3.56,-9.792532,-15.595369,1354.475555,19.080485,-11.367964,0.012302
20,beam_x,60x80,60.0,80.0,0.48,25,29,0,0,712.0,-1000,0,712.0,10.0,0.0,-0.0,1.395665,1.445738,1.317322,0.0
21,beam_x,60x80,60.0,80.0,0.48,26,30,0,725.0,712.0,-1000,725.0,712.0,10.0,0.0,-0.0,22.446424,0.098445,34.172547,0.0
22,beam_x,60x80,60.0,80.0,0.48,27,31,0,1615.0,712.0,-1000,1615.0,712.0,10.0,0.0,-0.0,6.297974,-0.564619,9.989091,0.0
23,beam_y,60x80,60.0,80.0,0.48,25,26,0,0,712.0,0,725.0,712.0,7.25,0.0,0.0,23.164659,25.81752,1.796325,-0.0
24,beam_y,60x80,60.0,80.0,0.48,29,30,-1000,0,712.0,-1000,725.0,712.0,7.25,0.0,0.0,35.545768,40.591866,2.104319,-0.0
25,beam_y,60x80,60.0,80.0,0.48,26,27,0,725.0,712.0,0,1615.0,712.0,8.9,-0.0,0.0,56.648681,76.903365,-1.111052,0.0
26,beam_y,60x80,60.0,80.0,0.48,30,31,-1000,725.0,712.0,-1000,1615.0,712.0,8.9,-0.0,0.0,68.014564,91.999558,-1.758992,0.0
27,column,70x70,70.0,70.0,0.49,25,56,0,0,712.0,0,0,1068.0,3.56,-1.80197,9.480479,514.592852,-15.370191,-2.478638,0.029353
