id,piso,x_cm,y_cm,z_cm,Fx_kN,Fy_kN,Fz_kN,Mx_kNm,My_kNm,Mz_kNm
1,Subterraneo,0,0,0,0.515009,0.373231,20.535077,-0.664351,0.916715,-0.013772
2,Subterraneo,0,725.0,0,0.605913,0.373231,20.535077,-0.664351,1.078526,-0.013772
3,Subterraneo,0,1615.0,0,0.717507,0.373231,20.535077,-0.664351,1.277162,-0.013772
4,Subterraneo,-1000,0,0,0.515009,0.498617,20.535077,-0.887538,0.916715,-0.013772
5,Subterraneo,-1000,725.0,0,0.605913,0.498617,20.535077,-0.887538,1.078526,-0.013772
6,Subterraneo,-1000,1615.0,0,0.717507,0.498617,20.535077,-0.887538,1.277162,-0.013772
7,Piso 1,0,0,356.0,-0.630954,4.424047,843.219053,23.756459,5.27177,0.026074
8,Piso 1,0,725.0,356.0,-5.436588,7.26157,1488.870579,45.563759,36.097231,0.026074
9,Piso 1,0,1615.0,356.0,-2.129722,-13.847764,1063.1106,-68.553648,11.736654,0.026074
10,Piso 1,-1000,0,356.0,-10.268516,9.330395,1162.692228,17.628736,-14.430427,0.026074
11,Piso 1,-1000,725.0,356.0,-15.868605,7.374438,2210.823287,45.124297,-57.161002,0.026074
12,Piso 1,-1000,1615.0,356.0,-10.510039,-16.093986,1566.360824,-66.193655,-21.973614,0.026074
13,Piso 1,-2000,0,356.0,1.121465,-0.45538,20.535077,0.810577,1.996208,-0.00147
14,Piso 1,-2000,725.0,356.0,1.13117,-0.45538,20.535077,0.810577,2.013482,-0.00147
15,Piso 1,-2000,1615.0,356.0,1.143082,-0.45538,20.535077,0.810577,2.034686,-0.00147
16,Piso 1,-3000,0,356.0,1.121465,-0.441995,20.535077,0.786752,1.996208,-0.00147
17,Piso 1,-3000,725.0,356.0,1.13117,-0.441995,20.535077,0.786752,2.013482,-0.00147
18,Piso 1,-3000,1615.0,356.0,1.143082,-0.441995,20.535077,0.786752,2.034686,-0.00147
19,Piso 1,-4000,0,356.0,1.121465,-0.42861,20.535077,0.762926,1.996208,-0.00147
20,Piso 1,-4000,725.0,356.0,1.13117,-0.42861,20.535077,0.762926,2.013482,-0.00147
21,Piso 1,-4000,1615.0,356.0,1.143082,-0.42861,20.535077,0.762926,2.034686,-0.00147
22,Piso 1,-4500,0,356.0,1.121465,-0.421918,20.535077,0.751014,1.996208,-0.00147
23,Piso 1,-4500,725.0,356.0,1.13117,-0.421918,20.535077,0.751014,2.013482,-0.00147
24,Piso 1,-4500,1615.0,356.0,1.143082,-0.421918,20.535077,0.751014,2.034686,-0.00147
28,Piso 2,-1000,-412.0,712.0,-0.0,-0.0,116.043259,65.794646,17.000279,0.0
32,Piso 2,-1500,0,712.0,0.0,0.0,55.591607,17.671932,0.0,-0.0
33,Piso 2,-1500,725.0,712.0,-0.0,0.0,129.319091,17.093693,0.0,-0.0
34,Piso 2,-1500,1615.0,712.0,0.0,0.0,73.727484,-34.765625,0.0,0.0
35,Piso 2,-1749.0,-412.0,712.0,-0.0,0.0,94.533127,14.401718,-9.932676,0.0
36,Piso 2,-1749.0,0,712.0,0.0,0.0,91.079711,-7.321526,0.0,0.0
37,Piso 2,-1749.0,725.0,712.0,-0.0,0.0,46.826029,-7.080191,0.0,-0.0
38,Piso 2,-2000,0,712.0,2.671979,14.457714,1226.216684,7.862494,-32.739636,0.030824
39,Piso 2,-2000,725.0,712.0,4.023154,0.061939,2007.996082,23.704205,-31.152525,0.030824
40,Piso 2,-2000,1615.0,712.0,1.806249,-7.717581,1394.27551,-25.462995,-14.842897,0.030824
41,Piso 2,-2500,0,712.0,0.0,0.0,64.40406,28.320312,0.0,-0.0
42,Piso 2,-2500,725.0,712.0,-0.0,0.0,138.131544,6.445312,0.0,-0.0
43,Piso 2,-2500,1615.0,712.0,0.0,0.0,73.727484,-34.765625,0.0,0.0
44,Piso 2,-3000,0,712.0,-0.195357,15.058505,1203.249733,14.825633,3.612141,0.030824
45,Piso 2,-3000,725.0,712.0,-1.831474,-1.697718,1987.673129,12.834684,1.584444,0.030824
46,Piso 2,-3000,1615.0,712.0,-1.569523,-7.322324,1380.132895,-21.70172,1.789511,0.030824
47,Piso 2,-3500,0,712.0,0.0,0.0,64.40406,28.320312,0.0,-0.0
48,Piso 2,-3500,725.0,712.0,-0.0,0.0,138.131544,6.445312,0.0,-0.0
49,Piso 2,-3500,1615.0,712.0,0.0,0.0,73.727484,-34.765625,0.0,0.0
50,Piso 2,-4000,0,712.0,7.40229,4.100699,973.645178,13.787596,-61.590734,0.030824
51,Piso 2,-4000,725.0,712.0,15.721962,-1.081296,1586.43141,8.999397,-151.804228,0.030824
52,Piso 2,-4000,1615.0,712.0,9.448844,-7.119183,1105.977212,-4.441113,-85.135359,0.030824
53,Piso 2,-4500,0,712.0,1.916299,1.454635,553.486599,2.826863,6.117973,0.030824
54,Piso 2,-4500,725.0,712.0,4.504973,-1.633758,862.902596,6.491756,9.103695,0.030824
55,Piso 2,-4500,1615.0,712.0,2.403944,-4.588935,617.35003,9.998566,6.504692,0.030824
59,Piso 3,-1000,-412.0,1068.0,0.0,0.0,134.033613,105.530858,16.401539,-0.0
63,Piso 3,-1500,0,1068.0,0.0,0.0,55.591607,17.671932,0.0,-0.0
64,Piso 3,-1500,725.0,1068.0,-0.0,0.0,129.319091,17.093693,0.0,0.0
65,Piso 3,-1500,1615.0,1068.0,0.0,0.0,73.727484,-34.765625,0.0,0.0
66,Piso 3,-1749.0,-412.0,1068.0,0.0,-0.0,94.533127,14.401718,-9.932676,-0.0
67,Piso 3,-1749.0,0,1068.0,-0.0,0.0,91.079711,-7.321526,0.0,-0.0
68,Piso 3,-1749.0,725.0,1068.0,-0.0,0.0,46.826029,-7.080191,0.0,-0.0
69,Piso 3,-2000,-246.0,1068.0,-0.0,0.0,119.126549,129.797622,-0.974837,0.0
73,Piso 3,-2500,-246.0,1068.0,-0.0,-0.0,52.855078,7.129541,0.0,0.0
74,Piso 3,-2500,0,1068.0,0.0,0.0,95.693563,21.190771,0.0,0.0
75,Piso 3,-2500,725.0,1068.0,-0.0,0.0,138.131544,6.445312,0.0,0.0
76,Piso 3,-2500,1615.0,1068.0,0.0,0.0,73.727484,-34.765625,0.0,0.0
77,Piso 3,-3000,-246.0,1068.0,-0.0,0.0,114.664179,125.277241,-2.426569,0.0
81,Piso 3,-3500,0,1068.0,0.0,0.0,64.40406,28.320312,0.0,-0.0
82,Piso 3,-3500,725.0,1068.0,-0.0,0.0,138.131544,6.445312,0.0,0.0
83,Piso 3,-3500,1615.0,1068.0,0.0,0.0,73.727484,-34.765625,0.0,0.0
93,Piso 4,-1000,-246.0,1424.0,0.0,0.0,234.233442,294.607012,11.912441,-0.0
97,Piso 4,-1220.0,-246.0,1424.0,0.0,-0.0,31.40536,0.930187,-1.0285,-0.0
98,Piso 4,-1220.0,0,1424.0,-0.0,0.0,63.079438,6.251844,0.0,-0.0
99,Piso 4,-1220.0,725.0,1424.0,0.0,0.0,46.91031,-7.182031,0.0,0.0
100,Piso 4,-1500,0,1424.0,-0.0,0.0,56.36031,18.600781,0.0,0.0
101,Piso 4,-1500,725.0,1424.0,0.0,0.0,130.087794,16.164844,0.0,0.0
102,Piso 4,-1500,1615.0,1424.0,-0.0,0.0,73.727484,-34.765625,0.0,-0.0
103,Piso 4,-2000,-412.0,1424.0,-0.0,-0.0,155.492586,106.276281,12.596103,0.0
