id,piso,x_cm,y_cm,z_cm,Fx_kN,Fy_kN,Fz_kN,Mx_kNm,My_kNm,Mz_kNm
1,Subterraneo,0,0,0,-12.938569,-5.073809,1005.326193,4.86496,-12.499939,0.029579
2,Subterraneo,0,725.0,0,-23.653469,4.952761,1530.171389,-7.033237,-25.330798,0.029579
3,Subterraneo,0,1615.0,0,-17.742449,17.01484,1212.382329,-21.346904,-18.458596,0.029579
4,Subterraneo,-1000,0,0,0.570185,-8.581351,2321.421399,9.503617,11.601721,2.082559
5,Subterraneo,-1000,725.0,0,30.869915,7.691873,2838.890426,-10.123865,39.370285,0.029579
6,Subterraneo,-1000,1615.0,0,2.145585,6.710837,2060.900855,-7.5807,12.770925,-1.382953
13,Piso 1,-2000,0,356.0,79.483445,16.704508,2826.186717,-26.057394,106.998813,0.08824
14,Piso 1,-2000,725.0,356.0,34.868891,9.78744,3234.416096,-17.84914,53.710626,0.08824
15,Piso 1,-2000,1615.0,356.0,15.621397,-34.660773,2011.682096,34.896073,30.446035,0.08824
16,Piso 1,-3000,0,356.0,3.78292,22.776214,2388.163044,-32.785821,17.167523,0.08824
17,Piso 1,-3000,725.0,356.0,8.343142,10.711794,3120.148159,-18.469375,22.233405,0.08824
18,Piso 1,-3000,1615.0,356.0,8.698124,-34.738856,1995.010431,35.465396,22.230418,0.08824
19,Piso 1,-4000,0,356.0,45.217677,-11.94568,1273.531538,8.894158,66.336768,0.08824
20,Piso 1,-4000,725.0,356.0,64.534751,5.93178,2063.420871,-12.320427,88.914114,0.08824
21,Piso 1,-4000,1615.0,356.0,46.677392,3.031451,1369.441685,-8.878704,67.299149,0.08824
22,Piso 1,-4500,0,356.0,8.371151,-4.116776,1117.722372,-0.157809,22.612223,0.08824
23,Piso 1,-4500,725.0,356.0,5.47856,-0.693306,1731.560855,-4.220327,18.834101,0.08824
24,Piso 1,-4500,1615.0,356.0,6.302338,-2.682047,1163.064803,-1.860354,19.387419,0.08824
164,Subterraneo,80.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
165,Subterraneo,80.0,725.0,0,0.0,0.0,0.0,0.0,0.0,0.0
166,Subterraneo,80.0,1615.0,0,55.894787,-13.834042,1173.339558,15.247653,68.924258,0.029579
182,Subterraneo,1080.0,0,0,-28.183636,30.096786,2626.331405,-37.043381,-30.590751,0.029579
183,Subterraneo,1080.0,725.0,0,-39.100729,9.208546,4380.14949,-12.256003,-43.661545,0.029579
184,Subterraneo,1080.0,1615.0,0,-7.408715,-38.009306,2639.673188,43.775849,-6.195897,0.029579
200,Subterraneo,2080.0,0,0,-3.416091,21.838019,2178.210549,-27.402762,-1.199932,0.029579
201,Subterraneo,2080.0,725.0,0,-14.716777,11.739524,3605.553962,-15.419214,-14.725923,0.029579
202,Subterraneo,2080.0,1615.0,0,-2.601355,-34.512573,2477.749138,39.466607,-0.491164,0.029579
218,Subterraneo,2830.0,725.0,0,-43.545289,8.261825,2803.169396,-11.412184,-48.935757,0.029579
230,Subterraneo,3205.0,1615.0,0,0.0,0.0,0.0,0.0,0.0,0.0
236,Subterraneo,3225.0,-109.0,0,0.0,0.0,0.0,0.0,0.0,0.0
237,Subterraneo,3165.0,-109.0,0,0.0,0.0,0.0,0.0,0.0,0.0
