nodoTag;caso;aparece_en_tabla_Unity;Fx_kN;Fy_kN;Fz_kN;Mx_kNm;My_kNm;Mz_kNm
1;COMBO;True;-69,5354397776;-498,3439205794;11,44674097;1089,3164204452;-181,1948553306;-5,8611597565
2;COMBO;True;-91,4038279221;-547,705326595;3346,2603785333;1147,8919555837;-184,1908221572;-5,8611597565
3;COMBO;True;-60,4924986289;-464,9049484035;3126,180711567;1049,6355067965;-119,3307253871;-5,8611597565
4;COMBO;True;-51,3386254081;-586,0385448216;2006,5213714916;1137,1860562096;-96,9874297142;83,9165813517
5;COMBO;True;10,6333129292;-525,9405459996;4915,1112090242;1090,4030084432;-63,1067483471;-5,8611597565
6;COMBO;True;-17,1082229875;-564,1753498363;3692,8515181453;1107,1660007334;-19,0642618449;63,9003084936
13;COMBO;True;-269,8509252683;-930,4754534965;3042,9100233951;2072,2604674204;-640,9139522883;-17,594992883
14;COMBO;True;-218,0757816928;-1145,7804154512;5685,2740138708;2327,75568894;-510,5654622626;-17,594992883
15;COMBO;True;-150,5568106523;-990,9799087611;3901,7198834704;2144,0590876677;-345,8516380236;-17,594992883
16;COMBO;True;-383,5573334662;-789,2203811062;2549,8949120426;1809,5913636098;-775,8455566832;-17,594992883
17;COMBO;True;-279,6667932652;-981,5122264495;5337,1727368401;2037,7776867506;-583,6534626619;-17,594992883
18;COMBO;True;-160,1585316422;-862,0542807904;3883,0503207338;1896,0209245684;-357,245680265;-17,594992883
19;COMBO;True;-377,7613588449;-749,4082079713;966,6331783193;1667,3011669158;-768,9676667992;-17,594992883
20;COMBO;True;-235,6928390828;-861,2388792593;3893,3483367132;1800,0068968441;-531,471037032;-17,594992883
21;COMBO;True;-123,837672501;-698,1916780781;3383,1596437799;1606,5242181091;-314,1449274175;-17,594992883
22;COMBO;True;-366,527702386;-600,6267163753;94,1681391641;1443,2239212681;-755,6370611347;-17,594992883
23;COMBO;True;-274,8417582828;-751,1883057719;2445,7266140103;1621,8903406854;-577,9277544828;-17,594992883
24;COMBO;True;-157,0526305138;-564,7423909477;1967,2193127601;1400,6411884274;-353,5600109259;-17,594992883
164;COMBO;False;0,0;0,0;0,0;0,0;0,0;0,0
165;COMBO;False;0,0;0,0;0,0;0,0;0,0;0,0
166;COMBO;True;76,935623586;-317,4981509977;1712,1651678467;877,245686475;43,750646308;-5,8611597565
182;COMBO;True;-103,4554242299;-407,9278285667;2827,5380759869;1016,2169780242;-221,446570214;-5,8611597565
183;COMBO;True;-106,0218616862;-553,2457102285;7284,9412572555;1188,6608642629;-201,5375555574;-5,8611597565
184;COMBO;True;-43,6518921915;-506,1058240146;5006,9952566176;1132,7215326224;-99,3465390813;-5,8611597565
200;COMBO;True;-93,5839127734;-450,9993202524;1973,0190658304;1098,9898889921;-209,7323766189;-5,8611597565
201;COMBO;True;-86,0518259949;-570,1806535452;5914,2345548702;1240,4184044995;-177,8397798703;-5,8611597565
202;COMBO;True;-43,1103815615;-535,299030513;4594,8268899234;1199,0255451679;-98,7039464671;-5,8611597565
218;COMBO;True;-115,4399060421;-552,403955289;4645,2356825602;1243,0694448611;-212,7136348597;-5,8611597565
230;COMBO;False;0,0;0,0;0,0;0,0;0,0;0,0
236;COMBO;False;0,0;0,0;0,0;0,0;0,0;0,0
237;COMBO;False;0,0;0,0;0,0;0,0;0,0;0,0
238;COMBO;False;0,0;0,0;0,0;0,0;0,0;0,0
239;COMBO;False;0,0;0,0;0,0;0,0;0,0;0,0
272;COMBO;False;0,0;0,0;0,0;0,0;0,0;0,0
273;COMBO;False;0,0;0,0;0,0;0,0;0,0;0,0
274;COMBO;False;0,0;0,0;0,0;0,0;0,0;0,0
275;COMBO;False;0,0;0,0;0,0;0,0;0,0;0,0
308;COMBO;False;0,0;0,0;0,0;0,0;0,0;0,0
315;COMBO;False;0,0;0,0;0,0;0,0;0,0;0,0
317;COMBO;False;0,0;0,0;0,0;0,0;0,0;0,0
339;COMBO;False;0,0;0,0;0,0;0,0;0,0;0,0
341;COMBO;False;0,0;0,0;0,0;0,0;0,0;0,0
364;COMBO;False;0,0;0,0;0,0;0,0;0,0;0,0
365;COMBO;False;0,0;0,0;0,0;0,0;0,0;0,0
387;COMBO;False;0,0;0,0;0,0;0,0;0,0;0,0
398;COMBO;False;-615,7312777364;33,9068170105;-1815,9981782638;-317,3494762025;-409,8392785204;204,2584814767
399;COMBO;False;442,5115443621;36,3638126503;3660,3756773045;-1424,3368333023;-207,9677695467;149,3259285333
400;COMBO;False;-29,4019571946;32,0824262521;-2071,4118519656;-58,9335056476;-690,0413790878;9,4967602857
401;COMBO;False;165,0327546812;43,3203742675;3581,5662553205;-1212,8086618758;-391,3557347186;55,7601787318
402;COMBO;False;-47,5205399796;23,6938708681;-893,4168786574;562,2385913971;-517,313165878;15,6623429143
403;COMBO;False;204,3775015509;36,8035372619;2573,7228708102;-745,5147913032;-633,9739000426;69,1292893306
404;COMBO;False;-7,1279549795;12,4660769664;502,5921854995;1193,8938230151;-450,6251836931;2,1386101439
405;COMBO;False;176,958955119;26,4574432979;1365,1916257786;-229,6813358345;-555,8420034837;59,9053359215
406;COMBO;False;24,2557759291;0,9410518194;1247,7146912669;1500,2929193791;-356,5113979778;-8,392677335
407;COMBO;False;148,9445657744;15,2592789613;168,7723505813;279,9091107123;-344,2109169153;50,4515280127
463;COMBO;False;0,0;0,0;0,0;0,0;0,0;0,0
465;COMBO;False;0,0;0,0;0,0;0,0;0,0;0,0
466;COMBO;False;0,0;0,0;0,0;0,0;0,0;0,0
488;COMBO;False;0,0;0,0;0,0;0,0;0,0;0,0
489;COMBO;False;0,0;0,0;0,0;0,0;0,0;0,0
490;COMBO;False;0,0;0,0;0,0;0,0;0,0;0,0
9000;COMBO;False;-540,4729711895;-1380,9270312673;8651,9630613278;3209,0123216631;-6725,9775184455;-295,8971609423
9006;COMBO;False;-2928,1872711665;-246,3895369427;-2080,7884508029;930,9116575411;-6424,9380269996;718,0162068587
9008;COMBO;False;-8354,2969599859;-332,521639635;-3310,3436762206;2644,9297665739;-17117,2910481091;3791,1464337763
9010;COMBO;False;-5928,3035147899;-276,1466263828;-1103,0489435283;2678,9077183066;-13429,8751057273;4106,5155819041
9012;COMBO;False;-5159,5775483557;-185,0896225373;56,3832818651;2329,3053432814;-12573,9291831298;3804,9233775888
9014;COMBO;False;-4269,9186492756;-84,5519916691;1005,1862895238;1819,24285064;-11111,9237076482;3219,7761914607
9016;COMBO;False;-633,7781928352;-1499,5809799433;-4931,0103933319;3353,3743343686;-3751,2385748125;-277,0229973814
9022;COMBO;False;-1155,2718207301;-265,4558323472;-510,7027875732;655,6664045515;-3131,3420683413;100,7900602394
9024;COMBO;False;-4408,7864141588;-365,6937832185;-2659,9353536222;1658,8056472718;-8430,1556478521;1680,3313181278
9026;COMBO;False;-7787,1404894942;-314,8724011286;-5091,8255435454;1542,2864177668;-14152,194914197;1672,6068749934
9028;COMBO;False;-7000,0044093018;-226,1089518985;-4953,0418167763;1122,756664798;-12281,1172005213;1221,5524997451
9030;COMBO;False;-4624,0022193916;-126,4344201051;-3769,936410686;591,3773501489;-7485,1310690378;590,489563499
9032;COMBO;False;-6092,6546496068;-46,7758049573;3306,5002866255;248,7439647104;-44762,1726931945;0,0
9038;COMBO;False;-1993,4651967887;-100,4919030844;677,90898432;309,512760783;-14405,4212603174;-1221,7968634353
9044;COMBO;False;-220,2982534295;-79,2501623406;1290,2599454976;246,8690180685;-1674,3803232036;-143,3471168106
9050;COMBO;False;-208,7342942471;-48,2408494327;373,15168128;150,4988818621;-1712,0536955247;-136,8606923272
