nodoTag;caso;aparece_en_tabla_Unity;Fx_kN;Fy_kN;Fz_kN;Mx_kNm;My_kNm;Mz_kNm
1;EX;True;-26,0022096545;0,1367113703;102,1166466147;-0,8679902774;-86,7034871138;0,0275898298
2;EX;True;-34,8639800786;1,2450463943;105,9034126752;-2,1832145059;-97,3275069016;0,0275898298
3;EX;True;-30,0100087109;2,0771677115;110,7565490585;-3,1706651356;-91,7001042909;0,0275898298
4;EX;True;-27,2888268929;5,7755772204;-215,116404686;-7,218190752;-55,977145735;7,0875503429
5;EX;True;-35,4881526565;0,7732102956;-24,2798138269;-1,4742647935;-98,068191694;0,0275898298
6;EX;True;-27,9366820591;-5,0230125304;-252,3092063723;5,3403526285;-57,4011829839;-9,8927630356
13;EX;True;-201,1106242798;-0,2484469509;-16,193538969;1,0404697659;-423,0997138517;0,1447256837
14;EX;True;-195,8048451298;-0,6661092468;3,770769159;1,5360956904;-417,3703231591;0,1447256837
15;EX;True;-197,3705011045;-1,0413069214;1,466590185;1,9813302643;-419,924031472;0,1447256837
16;EX;True;-193,8089134219;-2,1085394837;-26,3609762435;4,0295734549;-414,435016967;0,1447256837
17;EX;True;-194,7334856869;-2,0604228564;-5,8174500266;3,9724750572;-416,0989766202;0,1447256837
18;EX;True;-196,2613155156;-1,7700651002;-2,9309540328;3,6279171865;-418,6077979064;0,1447256837
19;EX;True;-225,0231872229;-5,4844004764;229,9163581762;8,8173890496;-451,4759552109;0,1447256837
20;EX;True;-231,6710412015;-2,8598678585;226,7836631769;5,7029436764;-459,9315424975;0,1447256837
21;EX;True;-225,4364003727;-1,294664566;240,5401797057;3,8455691026;-453,2288986036;0,1447256837
22;EX;True;-188,7876001617;-3,64370337;-344,1821260049;7,0239920917;-408,4763918982;0,1447256837
23;EX;True;-188,8139304202;-3,7120022813;-338,0150531327;7,1050401332;-409,0744377037;0,1447256837
24;EX;True;-190,7490863033;-3,2170141522;-339,6874724647;6,51765422;-412,0666192412;0,1447256837
164;EX;False;0,0;0,0;0,0;0,0;0,0;0,0
165;EX;False;0,0;0,0;0,0;0,0;0,0;0,0
166;EX;True;-25,4268478317;1,2943605877;-134,6159484425;-2,2536570187;-86,2614200475;0,0275898298
182;EX;True;-31,1155008666;0,7318186016;-87,7377880576;-1,735144737;-92,7712593522;0,0275898298
183;EX;True;-32,2202693875;1,4755967332;-74,0783346572;-2,6177614533;-94,1903035481;0,0275898298
184;EX;True;-37,2084466004;1,3682154924;9,9283044028;-2,4903357142;-100,2422505864;0,0275898298
200;EX;True;-45,8535749697;2,0677675483;-84,9247299987;-3,4695083623;-110,2604406211;0,0275898298
201;EX;True;-41,6447385235;1,0569831677;-75,8268984957;-2,2700442307;-105,3740069229;0,0275898298
202;EX;True;-45,9437238385;-0,4396635148;-90,5202052379;-0,4940235008;-110,6081129089;0,0275898298
218;EX;True;-36,118327216;3,5558557145;27,4963096333;-5,3471511427;-98,815998838;0,0275898298
230;EX;False;0,0;0,0;0,0;0,0;0,0;0,0
236;EX;False;0,0;0,0;0,0;0,0;0,0;0,0
237;EX;False;0,0;0,0;0,0;0,0;0,0;0,0
238;EX;False;0,0;0,0;0,0;0,0;0,0;0,0
239;EX;False;0,0;0,0;0,0;0,0;0,0;0,0
272;EX;False;0,0;0,0;0,0;0,0;0,0;0,0
273;EX;False;0,0;0,0;0,0;0,0;0,0;0,0
274;EX;False;0,0;0,0;0,0;0,0;0,0;0,0
275;EX;False;0,0;0,0;0,0;0,0;0,0;0,0
308;EX;False;0,0;0,0;0,0;0,0;0,0;0,0
315;EX;False;0,0;0,0;0,0;0,0;0,0;0,0
317;EX;False;0,0;0,0;0,0;0,0;0,0;0,0
339;EX;False;0,0;0,0;0,0;0,0;0,0;0,0
341;EX;False;0,0;0,0;0,0;0,0;0,0;0,0
364;EX;False;0,0;0,0;0,0;0,0;0,0;0,0
365;EX;False;0,0;0,0;0,0;0,0;0,0;0,0
387;EX;False;0,0;0,0;0,0;0,0;0,0;0,0
398;EX;False;17,0171923153;-0,3757110474;630,7605242984;325,8641244942;-231,8525599131;-6,5792187932
399;EX;False;17,6237795921;0,2166801944;612,0371322519;-318,3837095681;-231,635097562;6,8071545882
400;EX;False;14,7251398724;-1,4780288134;207,0114542266;149,5441465133;-414,6532268582;-5,031598889
401;EX;False;13,0367812148;1,1800768028;204,1902408131;-148,0088916367;-415,6249645913;4,4877788057
402;EX;False;20,5586979808;-1,364702973;176,2010649295;129,8684870613;-487,7525261546;-7,0128996281
403;EX;False;17,4287493718;1,4182181795;189,708360595;-134,4498350534;-484,536729945;5,9913392836
404;EX;False;15,967476813;-1,0935018708;129,6355883225;94,942005829;-445,0521510921;-5,4680814792
405;EX;False;13,085878734;1,0358510842;120,9282870701;-90,0377569693;-443,7013015243;4,5233900291
406;EX;False;11,0575180968;-0,9562261932;75,0685102773;62,8397470272;-370,1098623698;-3,7976395525
407;EX;False;9,2717811374;0,6973260557;59,6839095625;-55,8157923178;-371,8586621618;3,2144607023
463;EX;False;0,0;0,0;0,0;0,0;0,0;0,0
465;EX;False;0,0;0,0;0,0;0,0;0,0;0,0
466;EX;False;0,0;0,0;0,0;0,0;0,0;0,0
488;EX;False;0,0;0,0;0,0;0,0;0,0;0,0
489;EX;False;0,0;0,0;0,0;0,0;0,0;0,0
490;EX;False;0,0;0,0;0,0;0,0;0,0;0,0
9000;EX;False;-553,2021126474;-6,4011198056;341,481647953;4,3451424576;-4109,1134013284;-22,6974471755
9006;EX;False;-1620,458413167;2,7301669446;-1260,5059829093;48,156270782;-3527,1714115681;107,0004257658
9008;EX;False;-4910,0885039079;4,9221119037;-2919,5750870822;116,8617857601;-9307,3969983724;254,652619997
9010;EX;False;-5891,8796565427;3,0788316481;-3527,923307715;138,293375039;-11073,0704821568;291,0130104687
9012;EX;False;-5426,7503639392;2,6443626446;-3269,6302289722;108,2056021449;-10149,6408821469;229,1608182715
9014;EX;False;-4478,6084905795;3,0518760925;-2735,4144397869;79,150024521;-8365,1207326824;172,3066726015
9016;EX;False;-540,1175532925;12,2757237633;349,5127575141;-17,5591226673;-4126,984478145;25,5345263981
9022;EX;False;-1628,0554925908;-1,5817654188;-1272,2433452306;-49,3627746264;-3538,0635908683;-104,2848153778
9024;EX;False;-4952,1228920705;-2,9634324792;-2944,8728393422;-117,0086097842;-9384,044886503;-246,1500558406
9026;EX;False;-5878,2975273942;-4,284152368;-3519,6825983746;-122,3137992956;-11051,2976274029;-263,9681713652
9028;EX;False;-5435,0932571859;-2,8627472975;-3283,161519505;-97,0244978143;-10160,2504489155;-207,3425188671
9030;EX;False;-4522,3340360965;-1,4105414123;-2770,5012550868;-77,9367527724;-8440,3113920705;-162,3583198107
9032;EX;False;-3361,6107384042;0,1061334413;-53,1908588208;-0,2944918747;-29600,0683053178;0,0
9038;EX;False;-1788,9383169666;0,2117239498;0,0;-0,5231913814;-13804,8097812107;5,7512794144
9044;EX;False;-204,2742712405;0,1613891678;0,0;-0,4144256774;-1612,9849097087;0,6747679149
9050;EX;False;-197,8586643428;0,0929260669;0,0;-0,2485983347;-1542,8104198735;0,64423482
9056;EX;False;-97,9543181676;1,398114751;-4,6019584962;-2,0183952494;-402,514989823;57,1342498191
9058;EX;False;-587,3803715687;0,5744741783;245,1021818434;10,4155773637;40,0061764447;-5,8829706798
9060;EX;False;-497,7265881882;0,9441408426;24,4746373862;-1,6878622268;-3340,1822233576;0,7690924572
9063;EX;False;-56,9621672101;0,0187931785;-2,161540569;-0,6120258171;-247,6435830428;-32,7235227968
9065;EX;False;-117,8922920333;1,4911641251;7,1894600052;-2,2656255701;-503,8939384244;112,3886984987
9067;EX;False;-590,65567648;-0,755959914;245,5740606415;-2,8510874879;31,4145257171;3,8245626882
9069;EX;False;-292,070499347;-2,6192966837;17,6318884304;5,0548416176;-1165,8147219578;0,5001781709
9071;EX;False;-159,9692082869;-3,5126074656;10,4300977667;6,5377084244;-674,9978067208;0,3414386348
9073;EX;False;-35,1130822829;0,0649403226;0,0;-0,1445729127;-271,2195183846;0,1133099714
9075;EX;False;-684,6208177756;0,086146791;-0,0;-0,3066825759;-2437,2501112811;-0,0006992562
9077;EX;False;-35,1130822829;0,0716058723;0,0;-0,1472724366;-271,2195183846;0,1133099714
9079;EX;False;-1577,3020586281;-0,0125053434;-0,0;0,0445190226;-5615,1953287162;0,0367030144
9083;EX;False;-1873,874971518;-0,1002392013;0,0;0,3568515567;-6670,9948986042;-0,001680739
9087;EX;False;-1718,9060991624;-0,1001161372;-0,0;0,3564134485;-6119,305713018;0,017191387
9091;EX;False;-1423,6321475048;-0,0741149484;0,0;0,2638492163;-5068,1304451171;0,0459468034
9095;EX;False;-120,079542755;0,1611994512;0,0;-0,3562855824;-939,6958540742;0,3926681439
9097;EX;False;-906,0078463561;0,1863678773;-0,0;-0,6634696433;-3225,3879330276;0,1045179233
9099;EX;False;-120,079542755;0,1747428862;0,0;-0,3617984888;-939,6958540742;0,3926681439
9101;EX;False;-2092,0129879001;-0,0216692873;-0,0;0,0771426629;-7447,5662369245;0,0681331652
9103;EX;False;-2469,7622544723;-0,2172220062;0,0;0,773310342;-8792,3536259214;-0,1272928309
9105;EX;False;-2270,6559827293;-0,2141793359;-0,0;0,7624784356;-8083,5352985162;-0,0841881419
9107;EX;False;-1889,9890705051;-0,1536677207;-0,0;0,5470570857;-6728,3610909982;0,0132858111
