nodoTag;caso;aparece_en_tabla_Unity;Fx_kN;Fy_kN;Fz_kN;Mx_kNm;My_kNm;Mz_kNm
1;EY;True;-6,0034076761;-351,0065603477;-1156,5594462652;774,200860365;-24,9143286671;-4,2452132431
2;EY;True;1,7046641859;-398,3806648698;581,9206393234;830,4181310646;0,8584454261;-4,2452132431
3;EY;True;11,3503552386;-353,2615080231;798,2860381167;776,8767316065;32,7143445288;-4,2452132431
4;EY;True;-10,5913107804;-415,4096077547;-838,5339994496;809,7511826688;-26,4881982947;50,6628275431
5;EY;True;2,8023805878;-385,0163301185;268,0777222926;791,6268968375;2,1610688897;-4,2452132431
6;EY;True;12,5463782055;-404,9600875356;612,7120727626;793,1039820665;28,6472827169;56,9968261027
13;EY;True;-76,155968427;-686,9810536018;-892,4553458726;1512,6467483192;-148,966499194;-12,8108848637
14;EY;True;3,292876389;-831,4141967967;338,6365374032;1684,0407449104;-4,5149284637;-12,8108848637
15;EY;True;72,8712891658;-660,4742203029;557,5754500927;1481,1919728044;139,6422473119;-12,8108848637
16;EY;True;-84,1663995981;-591,6662393201;-772,1789580644;1330,3366976032;-158,4722108503;-12,8108848637
17;EY;True;-14,2188298759;-713,5912185957;207,6442362192;1475,0210063436;-25,2954865647;-12,8108848637
18;EY;True;72,328756617;-567,6749987038;563,7068633275;1301,8670920719;138,9984420206;-12,8108848637
19;EY;True;-95,5452874898;-517,716146768;-899,6537456801;1173,3794500065;-171,9751578152;-12,8108848637
20;EY;True;-12,4245636208;-619,3994076976;200,3412004715;1294,0435863096;-23,1662906086;-12,8108848637
21;EY;True;83,960160939;-499,9108850869;683,9416596248;1152,2505394783;152,8010418161;-12,8108848637
22;EY;True;-82,1881871845;-421,1028090502;-738,43151555;1024,1300536972;-156,1247321195;-12,8108848637
23;EY;True;-13,2801163118;-532,1810893177;205,440933042;1155,9429462813;-24,1815464686;-12,8108848637
24;EY;True;71,6487642589;-397,9165308347;532,8270432746;996,6156702149;138,1915177557;-12,8108848637
164;EY;False;0,0;0,0;0,0;0,0;0,0;0,0
165;EY;False;0,0;0,0;0,0;0,0;0,0;0,0
166;EY;True;15,2662175489;-210,025203;79,0199150915;608,7375608716;37,3611678036;-4,2452132431
182;EY;True;-8,6936930235;-331,6736474174;-802,9631371808;776,0259385691;-28,1068006127;-4,2452132431
183;EY;True;5,1330284178;-409,1517487016;160,3948509701;867,9666187597;4,9267709812;-4,2452132431
184;EY;True;15,6615099845;-312,0945519573;608,7019983559;752,7920786231;37,8302481606;-4,2452132431
200;EY;True;-16,4225250074;-352,420219213;-862,0796219844;823,5774274221;-37,2783479002;-4,2452132431
201;EY;True;-0,5709958963;-423,5721526485;192,2928675052;908,011055099;-1,8420045382;-4,2452132431
202;EY;True;19,1004528965;-336,8657656532;648,556520413;805,1194758645;41,9111270828;-4,2452132431
218;EY;True;4,6201871311;-408,4732811346;199,4544371031;907,2928953109;4,318199321;-4,2452132431
230;EY;False;0,0;0,0;0,0;0,0;0,0;0,0
236;EY;False;0,0;0,0;0,0;0,0;0,0;0,0
237;EY;False;0,0;0,0;0,0;0,0;0,0;0,0
