nodoTag;caso;aparece_en_tabla_Unity;Fx_kN;Fy_kN;Fz_kN;Mx_kNm;My_kNm;Mz_kNm
1;G;True;-12,9385689182;-5,0738089321;1005,3261930375;4,8649596549;-12,4999386246;0,0295793706
2;G;True;-23,6534693641;4,9527612259;1530,171389212;-7,0332369326;-25,3307978333;0,0295793706
3;G;True;-17,742449419;17,0148398149;1212,3823289973;-21,3469035248;-18,4585960109;0,0295793706
4;G;True;0,5701846095;-8,5813514667;2321,4213986398;9,5036168189;11,601720866;2,082559001
5;G;True;30,8699148117;7,6918731329;2838,8904255459;-10,1238648834;39,370284722;0,0295793706
6;G;True;2,1455845947;6,7108374023;2060,900855369;-7,5807004661;12,7709248689;-1,3829533622
13;G;True;79,483445072;16,7045076419;2826,1867171941;-26,0573936095;106,9988127416;0,0882401571
14;G;True;34,86889065;9,787440269;3234,4160963523;-17,8491403269;53,7106263011;0,0882401571
15;G;True;15,6213968186;-34,6607734966;2011,6820960437;34,8960733416;30,4460354301;0,0882401571
16;G;True;3,7829199447;22,7762141585;2388,1630435571;-32,7858207084;17,1675229239;0,0882401571
17;G;True;8,3431422613;10,711793519;3120,1481593694;-18,4693748828;22,2334048798;0,0882401571
18;G;True;8,6981237404;-34,7388562039;1995,0104310935;35,4653961217;22,230418044;0,0882401571
19;G;True;45,2176773456;-11,9456795275;1273,5315383491;8,8941577666;66,336768373;0,0882401571
20;G;True;64,5347510483;5,9317798624;2063,4208709475;-12,3204273761;88,9141139737;0,0882401571
21;G;True;46,6773917413;3,0314509086;1369,4416846809;-8,8787036843;67,299149405;0,0882401571
22;G;True;8,37115075;-4,116775803;1117,7223724036;-0,1578090028;22,6122234795;0,0882401571
23;G;True;5,4785603146;-0,6933055665;1731,5608553481;-4,2203270167;18,8341009697;0,0882401571
24;G;True;6,30233806;-2,6820471762;1163,0648028984;-1,8603536399;19,3874190366;0,0882401571
164;G;False;0,0;0,0;0,0;0,0;0,0;0,0
165;G;False;0,0;0,0;0,0;0,0;0,0;0,0
166;G;True;55,8947874387;-13,8340415227;1173,3395579451;15,2476528749;68,9242583935;0,0295793706
182;G;True;-28,1836358257;30,0967864619;2626,3314051199;-37,0433811791;-30,5907513548;0,0295793706
