nodoTag;caso;aparece_en_tabla_Unity;Fx_kN;Fy_kN;Fz_kN;Mx_kNm;My_kNm;Mz_kNm
1;Q;True;-9,2012928129;-1,0375612926;281,2752288357;0,8124507366;-9,9299868877;0,0080177775
2;Q;True;-16,5966224354;2,3412257995;547,1010386809;-3,1970432793;-18,7371786916;0,0080177775
3;Q;True;-13,078044465;6,3353202549;398,6622947249;-7,936702033;-14,6003465071;0,0080177775
4;Q;True;1,0093458031;-2,2532803136;695,9262589137;2,2355273434;4,5419868882;0,5669815101
5;Q;True;19,3494960512;2,769573993;1167,1256265171;-3,6620385583;23,9188819125;0,0080177775
6;Q;True;1,8635008939;1,7479853734;715,206478756;-1,5592272802;5,8660886861;-0,3858357657
13;Q;True;22,9421704348;11,6004381069;923,5944015405;-15,6327655674;31,5801706856;0,0317417805
14;Q;True;9,5983057643;7,3870846868;1324,6044690609;-10,6329195089;15,621138448;0,0317417805
15;Q;True;4,9964098796;-23,2652424513;705,042511829;25,7411753617;10,0076172844;0,0317417805
16;Q;True;1,0686008281;14,7328522288;802,055167805;-19,1784310215;5,6235347524;0,0317417805
17;Q;True;2,854677809;7,5459193605;1310,4374449272;-10,6499373511;7,6186999411;0,0317417805
18;Q;True;2,9093023273;-23,1445640201;703,951530409;25,7694362606;7,5309163224;0,0317417805
19;Q;True;16,7732929382;-2,5926263961;376,0276748058;1,5526029173;24,2597693897;0,0317417805
20;Q;True;28,5993064105;2,8059706843;819,2684824685;-4,8537322848;38,1689925482;0,0317417805
21;Q;True;18,2161926167;-0,1416496543;445,5550471001;-1,355889483;25,6950927991;0,0317417805
22;Q;True;2,7930189985;-1,0414680234;268,5603904566;-0,202372033;7,6698443146;0,0317417805
23;Q;True;1,5156347644;-0,1060108534;553,4573557196;-1,3124478748;6,0297021948;0,0317417805
24;Q;True;2,1250146763;0,0630286455;301,1461501482;-1,5130414134;6,6002283099;0,0317417805
164;Q;False;0,0;0,0;0,0;0,0;0,0;0,0
165;Q;False;0,0;0,0;0,0;0,0;0,0;0,0
166;Q;True;24,0867610555;-8,6741217931;381,9921450039;9,8710376311;29,5018893772;0,0080177775
182;Q;True;-13,9021897929;19,2745880212;922,9216851767;-23,3380759258;-15,5083846373;0,0080177775
183;Q;True;-21,1788500041;6,4506469173;1907,9187470053;-8,1203324825;-24,1747554065;0,0080177775
184;Q;True;-4,5957234627;-25,4777852393;973,3050075759;29,7680736766;-4,5346589177;0,0080177775
200;Q;True;-2,2980631527;13,2884887497;684,9724997952;-16,2778827008;-1,7381543575;0,0080177775
201;Q;True;-9,2896651572;7,253155086;1424,5174437787;-9,11595342;-10,0662560548;0,0080177775
202;Q;True;-2,4081766783;-21,656342123;840,2770830776;25,189983268;-1,9387700669;0,0080177775
218;Q;True;-19,0881628602;4,5662499365;963,7013613403;-5,9599760755;-21,6938066624;0,0080177775
230;Q;False;0,0;0,0;0,0;0,0;0,0;0,0
236;Q;False;0,0;0,0;0,0;0,0;0,0;0,0
237;Q;False;0,0;0,0;0,0;0,0;0,0;0,0
238;Q;False;0,0;0,0;0,0;0,0;0,0;0,0
239;Q;False;0,0;0,0;0,0;0,0;0,0;0,0
272;Q;False;0,0;0,0;0,0;0,0;0,0;0,0
273;Q;False;0,0;0,0;0,0;0,0;0,0;0,0
274;Q;False;0,0;0,0;0,0;0,0;0,0;0,0
275;Q;False;0,0;0,0;0,0;0,0;0,0;0,0
308;Q;False;0,0;0,0;0,0;0,0;0,0;0,0
315;Q;False;0,0;0,0;0,0;0,0;0,0;0,0
317;Q;False;0,0;0,0;0,0;0,0;0,0;0,0
339;Q;False;0,0;0,0;0,0;0,0;0,0;0,0
341;Q;False;0,0;0,0;0,0;0,0;0,0;0,0
