id,piso,x_cm,y_cm,z_cm,ux_mm,uy_mm,uz_mm,u_planta_mm,rx_rad,ry_rad,rz_rad
1,Subterraneo,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Subterraneo,0,725.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Subterraneo,0,1615.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Subterraneo,-1000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Subterraneo,-1000,725.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Subterraneo,-1000,1615.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Piso 1,0,0,356.0,-0.036153,-0.014644,-0.286192,0.039006,2.96526e-05,-7.49475e-05,-2.024e-07
8,Piso 1,0,725.0,356.0,-0.034686,-0.014644,-0.438719,0.03765,-1.26874e-05,-0.0001193696,-2.024e-07
9,Piso 1,0,1615.0,356.0,-0.032884,-0.014644,-0.346365,0.035997,-6.36228e-05,-9.33966e-05,-2.024e-07
10,Piso 1,-1000,0,356.0,-0.138403,-0.008609,-0.668666,0.13867,4.10738e-05,-7.53466e-05,-1.42516e-05
11,Piso 1,-1000,725.0,356.0,-0.034686,-0.01262,-0.819049,0.03691,-2.53912e-05,0.0001108703,-2.024e-07
12,Piso 1,-1000,1615.0,356.0,-0.129531,0.00485,-0.592955,0.129622,-3.10629e-05,-6.37102e-05,9.464e-06
13,Piso 1,-2000,0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Piso 1,-2000,725.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Piso 1,-2000,1615.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Piso 1,-3000,0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Piso 1,-3000,725.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Piso 1,-3000,1615.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Piso 1,-4000,0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Piso 1,-4000,725.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Piso 1,-4000,1615.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Piso 1,-4500,0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Piso 1,-4500,725.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Piso 1,-4500,1615.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Piso 2,0,0,712.0,-0.160615,-0.09106,-0.527302,0.184632,0.0001150512,-7.26937e-05,-6.039e-07
26,Piso 2,0,725.0,712.0,-0.156237,-0.09106,-0.814689,0.180837,-8.52058e-05,-0.0001032778,-6.039e-07
27,Piso 2,0,1615.0,712.0,-0.150862,-0.09106,-0.646516,0.176214,0.0001103905,-0.0001174447,-6.039e-07
28,Piso 2,-1000,-412.0,712.0,-0.163103,-0.085022,-2.403578,0.183933,0.000297464,-0.0003250069,-6.039e-07
29,Piso 2,-1000,0,712.0,-0.160615,-0.085022,-1.31587,0.18173,5.22612e-05,-0.0002002009,-6.039e-07
30,Piso 2,-1000,725.0,712.0,-0.156237,-0.085022,-1.610985,0.177873,1.2817e-06,-0.0002265035,-6.039e-07
31,Piso 2,-1000,1615.0,712.0,-0.150862,-0.085022,-1.13405,0.173171,0.0001702751,-9.04737e-05,-6.039e-07
32,Piso 2,-1500,0,712.0,-0.160615,-0.082003,-4.21338,0.180337,-0.0001214058,-9.11493e-05,-6.039e-07
33,Piso 2,-1500,725.0,712.0,-0.156237,-0.082003,-4.781786,0.176449,-4.84543e-05,6.93131e-05,-6.039e-07
34,Piso 2,-1500,1615.0,712.0,-0.150862,-0.082003,-2.809818,0.171709,0.0005089699,0.0001078134,-6.039e-07
35,Piso 2,-1749.0,-412.0,712.0,-0.163103,-0.080499,-3.706221,0.181886,0.0002036658,0.0002501815,-6.039e-07
36,Piso 2,-1749.0,0,712.0,-0.160615,-0.080499,-3.098168,0.179659,-2.9839e-06,0.0009139559,-6.039e-07
37,Piso 2,-1749.0,725.0,712.0,-0.156237,-0.080499,-3.004763,0.175756,5.11918e-05,0.0011125141,-6.039e-07
38,Piso 2,-2000,0,712.0,-0.160615,-0.078983,-0.815357,0.178985,-2.61667e-05,0.0002454076,-6.039e-07
39,Piso 2,-2000,725.0,712.0,-0.156237,-0.078983,-0.933993,0.175067,3.0425e-06,5.94699e-05,-6.039e-07
40,Piso 2,-2000,1615.0,712.0,-0.150862,-0.078983,-0.578652,0.170288,0.0001907373,-1.87886e-05,-6.039e-07
41,Piso 2,-2500,0,712.0,-0.160615,-0.075964,-1.982952,0.177673,-0.0003175169,-2.15657e-05,-6.039e-07
42,Piso 2,-2500,725.0,712.0,-0.156237,-0.075964,-3.787862,0.173725,-0.000143931,2.1612e-06,-6.039e-07
43,Piso 2,-2500,1615.0,712.0,-0.150862,-0.075964,-2.398262,0.168908,0.000486971,1.63907e-05,-6.039e-07
44,Piso 2,-3000,0,712.0,-0.160615,-0.072945,-0.688062,0.176403,-5.51986e-05,-7.42586e-05,-6.039e-07
45,Piso 2,-3000,725.0,712.0,-0.156237,-0.072945,-0.900786,0.172426,-4.2533e-06,-5.25423e-05,-6.039e-07
46,Piso 2,-3000,1615.0,712.0,-0.150862,-0.072945,-0.573807,0.167572,0.0001876745,-4.8024e-05,-6.039e-07
47,Piso 2,-3500,0,712.0,-0.160615,-0.069926,-2.382782,0.175176,-0.0002794029,3.97544e-05,-6.039e-07
48,Piso 2,-3500,725.0,712.0,-0.156237,-0.069926,-4.031796,0.171171,-0.0001270209,1.4978e-05,-6.039e-07
49,Piso 2,-3500,1615.0,712.0,-0.150862,-0.069926,-2.557346,0.16628,0.0004501219,1.14453e-05,-6.039e-07
50,Piso 2,-4000,0,712.0,-0.160615,-0.066906,-0.364136,0.173993,8.80317e-05,0.000100711,-6.039e-07
51,Piso 2,-4000,725.0,712.0,-0.156237,-0.066906,-0.593688,0.16996,1.25392e-05,0.0001847422,-6.039e-07
52,Piso 2,-4000,1615.0,712.0,-0.150862,-0.066906,-0.392009,0.165033,2.47866e-05,0.0001123538,-6.039e-07
53,Piso 2,-4500,0,712.0,-0.160615,-0.063887,-0.318856,0.172854,5.32758e-05,-5.48835e-05,-6.039e-07
54,Piso 2,-4500,725.0,712.0,-0.156237,-0.063887,-0.497245,0.168794,3.88192e-05,-6.46388e-05,-6.039e-07
55,Piso 2,-4500,1615.0,712.0,-0.150862,-0.063887,-0.332033,0.163832,4.72172e-05,-5.81409e-05,-6.039e-07
56,Piso 3,0,0,1068.0,-0.332343,-0.360005,-0.729577,0.489954,-4.5602e-06,-0.000124187,1.8775e-06
57,Piso 3,0,725.0,1068.0,-0.345955,-0.360005,-1.123811,0.499288,4.56542e-05,-0.0001599398,1.8775e-06
58,Piso 3,0,1615.0,1068.0,-0.362665,-0.360005,-0.868429,0.511008,8.8274e-05,-0.0001443702,1.8775e-06
59,Piso 3,-1000,-412.0,1068.0,-0.324607,-0.37878,-2.483757,0.498843,0.000201753,-0.0002901015,1.8775e-06
60,Piso 3,-1000,0,1068.0,-0.332343,-0.37878,-1.805709,0.503911,2.27528e-05,-0.0001462654,1.8775e-06
61,Piso 3,-1000,725.0,1068.0,-0.345955,-0.37878,-2.209706,0.51299,2.08463e-05,-0.0001723907,1.8775e-06
62,Piso 3,-1000,1615.0,1068.0,-0.362665,-0.37878,-1.538736,0.524405,0.0001617928,-0.0001233655,1.8775e-06
63,Piso 3,-1500,0,1068.0,-0.332343,-0.388168,-3.989512,0.511005,-0.0001766723,5.2786e-06,1.8775e-06
64,Piso 3,-1500,725.0,1068.0,-0.345955,-0.388168,-5.195093,0.519961,-0.0001034241,6.94501e-05,1.8775e-06
65,Piso 3,-1500,1615.0,1068.0,-0.362665,-0.388168,-3.270592,0.531225,0.0005180344,0.0001139548,1.8775e-06
66,Piso 3,-1749.0,-412.0,1068.0,-0.324607,-0.392843,-3.649575,0.509603,0.0002252376,0.0001719994,1.8775e-06
67,Piso 3,-1749.0,0,1068.0,-0.332343,-0.392843,-2.919044,0.514565,-6.2478e-06,0.0007403483,1.8775e-06
68,Piso 3,-1749.0,725.0,1068.0,-0.345955,-0.392843,-3.519416,0.52346,-2.15356e-05,0.001036525,1.8775e-06
69,Piso 3,-2000,-246.0,1068.0,-0.327724,-0.397555,-2.02005,0.515222,0.0003156347,-0.0001452457,1.8775e-06
70,Piso 3,-2000,0,1068.0,-0.332343,-0.397555,-1.421895,0.518172,9.29707e-05,-1.6023e-05,1.8775e-06
71,Piso 3,-2000,725.0,1068.0,-0.345955,-0.397555,-1.621641,0.527006,4.5332e-06,1.70845e-05,1.8775e-06
72,Piso 3,-2000,1615.0,1068.0,-0.362665,-0.397555,-1.011922,0.538123,0.0001948322,-2.93667e-05,1.8775e-06
73,Piso 3,-2500,-246.0,1068.0,-0.327724,-0.406943,-4.252546,0.522499,0.0002312699,1.66033e-05,1.8775e-06
74,Piso 3,-2500,0,1068.0,-0.332343,-0.406943,-3.841903,0.525409,3.51207e-05,1.51614e-05,1.8775e-06
75,Piso 3,-2500,725.0,1068.0,-0.345955,-0.406943,-4.486791,0.534123,-0.0001059192,1.48311e-05,1.8775e-06
76,Piso 3,-2500,1615.0,1068.0,-0.362665,-0.406943,-2.838856,0.545095,0.0005036356,2.12716e-05,1.8775e-06
77,Piso 3,-3000,-246.0,1068.0,-0.327724,-0.416331,-1.807401,0.529844,0.0002993532,0.0001892971,1.8775e-06
78,Piso 3,-3000,0,1068.0,-0.332343,-0.416331,-1.250623,0.532713,7.54437e-05,5.95456e-05,1.8775e-06
79,Piso 3,-3000,725.0,1068.0,-0.345955,-0.416331,-1.572198,0.541309,8.2394e-06,-4.4743e-05,1.8775e-06
80,Piso 3,-3000,1615.0,1068.0,-0.362665,-0.416331,-1.002651,0.552139,0.0001999056,-5.20384e-05,1.8775e-06
81,Piso 3,-3500,0,1068.0,-0.332343,-0.425718,-2.641613,0.540081,-0.000300299,5.24782e-05,1.8775e-06
82,Piso 3,-3500,725.0,1068.0,-0.345955,-0.425718,-4.559937,0.548563,-0.0001423093,4.23522e-05,1.8775e-06
83,Piso 3,-3500,1615.0,1068.0,-0.362665,-0.425718,-2.901689,0.559251,0.0005157307,3.52101e-05,1.8775e-06
84,Piso 3,-4000,0,1068.0,-0.332343,-0.435106,-0.665997,0.547512,-1.23099e-05,7.7686e-05,1.8775e-06
85,Piso 3,-4000,725.0,1068.0,-0.345955,-0.435106,-1.104769,0.555879,1.99134e-05,0.0001573359,1.8775e-06
86,Piso 3,-4000,1615.0,1068.0,-0.362665,-0.435106,-0.714746,0.56643,0.0002020862,8.60276e-05,1.8775e-06
87,Piso 3,-4500,0,1068.0,-0.332343,-0.444494,-0.603898,0.555001,4.02274e-05,-3.07175e-05,1.8775e-06
88,Piso 3,-4500,725.0,1068.0,-0.345955,-0.444494,-0.953774,0.563258,4.28244e-05,-2.58764e-05,1.8775e-06
89,Piso 3,-4500,1615.0,1068.0,-0.362665,-0.444494,-0.631343,0.573673,0.0001353823,-3.8422e-05,1.8775e-06
90,Piso 4,0,0,1424.0,-0.59837,-0.563656,-0.86272,0.822043,3.53304e-05,-0.0001123243,4.5489e-06
91,Piso 4,0,725.0,1424.0,-0.63135,-0.563656,-1.332055,0.846351,3.58994e-05,-0.0001443731,4.5489e-06
92,Piso 4,0,1615.0,1424.0,-0.671835,-0.563656,-1.013619,0.876966,8.38862e-05,-0.0001671154,4.5489e-06
93,Piso 4,-1000,-246.0,1424.0,-0.58718,-0.609145,-2.471022,0.846072,0.0001831669,-0.00044305,4.5489e-06
94,Piso 4,-1000,0,1424.0,-0.59837,-0.609145,-2.087815,0.853876,6.52604e-05,-0.0002911529,4.5489e-06
