nodoTag;caso;ux_m;uy_m;uz_m;ux_mm;uy_mm;uz_mm;u_planta_mm;rx_rad;ry_rad;rz_rad
1;COMBO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2;COMBO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
3;COMBO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
4;COMBO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
5;COMBO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
6;COMBO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
7;COMBO;0,0012501032;0,0063081692;3,8347e-06;1,2501032;6,3081692;0,0038347;6,430844164375224;-0,0014395216;0,0004086727;4,01097e-05
8;COMBO;0,000959308;0,0063081692;-0,0009653029;0,9593079999999999;6,3081692;-0,9653029;6,380695141964757;-0,0012310795;0,0001529594;4,01097e-05
9;COMBO;0,0006023317;0,0063081692;-0,0009013451;0,6023317;6,3081692;-0,9013451;6,3368605896495405;-0,0015807268;8,29425e-05;4,01097e-05
10;COMBO;0,0004568905;0,0055962773;-0,0005759584;0,45689050000000003;5,5962773;-0,5759584;5,61489702020309;-0,0006692678;3,98887e-05;-0,0005742665
11;COMBO;0,000959308;0,0059070723;-0,0014212302;0,9593079999999999;5,9070723;-1,4212301999999999;5,984461128313166;-0,001097652;0,0005838391;4,01097e-05
12;COMBO;-1,5677e-05;0,0055446446;-0,0010660266;-0,015677;5,5446446;-1,0660266;5,544666762632192;-0,000732584;-8,10515e-05;-0,0004372891
13;COMBO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
14;COMBO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
15;COMBO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
16;COMBO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
17;COMBO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
