nodoTag;caso;ux_m;uy_m;uz_m;ux_mm;uy_mm;uz_mm;u_planta_mm;rx_rad;ry_rad;rz_rad
1;EX;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2;EX;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
3;EX;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
4;EX;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
5;EX;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
6;EX;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
7;EX;0,0007074945;-8,9408e-06;-2,96763e-05;0,7074945;-0,008940799999999999;-0,0296763;0,7075509914026621;4,4456e-06;0,0002876674;-1,888e-07
8;EX;0,0007088633;-8,9408e-06;-3,07768e-05;0,7088633;-0,008940799999999999;-0,0307768;0,7089196823276457;-2,346e-07;0,0002510151;-1,888e-07
9;EX;0,0007105437;-8,9408e-06;-3,21872e-05;0,7105437;-0,008940799999999999;-0,0321872;0,710599948996853;-3,7485e-06;0,0002724564;-1,888e-07
10;EX;0,0002989015;-4,6177e-06;6,25155e-05;0,29890150000000004;-0,0046177;0,0625155;0,29893716706950313;-2,17948e-05;5,26876e-05;-4,85023e-05
11;EX;0,0007088633;-7,0527e-06;7,056e-06;0,7088633;-0,0070527;0,007056;0,7088983838775342;6,971e-07;0,0002483794;-1,888e-07
12;EX;0,0003072024;-7,858e-06;7,33241e-05;0,3072024;-0,007858;0,0733241;0,30730288434988695;2,56257e-05;5,46153e-05;6,76992e-05
13;EX;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
14;EX;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
15;EX;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
16;EX;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
17;EX;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
18;EX;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19;EX;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
20;EX;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
21;EX;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
22;EX;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
23;EX;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
24;EX;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
25;EX;0,0023366521;-1,03619e-05;-5,69505e-05;2,3366521;-0,0103619;-0,0569505;2,3366750748458847;8,3979e-06;0,0003809681;-9,904e-07
26;EX;0,0023438326;-1,03619e-05;-5,81681e-05;2,3438326;-0,0103619;-0,0581681;2,343855504461478;-9,5586e-06;0,0003952627;-9,904e-07
27;EX;0,0023526471;-1,03619e-05;-6,25566e-05;2,3526471;-0,0103619;-0,0625566;2,352669918647752;4,388e-07;0,000429765;-9,904e-07
28;EX;0,0023325717;-4,579e-07;9,1568e-06;2,3325717;-0,0004579;0,0091568;2,3325717449444725;8,7505e-06;0,0002041654;-9,904e-07
29;EX;0,0023366521;-4,579e-07;5,09323e-05;2,3366521;-0,0004579;0,0509323;2,3366521448659876;2,3483e-06;0,000421194;-9,904e-07
30;EX;0,0023438326;-4,579e-07;9,6858e-06;2,3438326;-0,0004579;0,0096858;2,343832644728537;-2,4843e-06;0,0003545542;-9,904e-07
31;EX;0,0023526471;-4,579e-07;7,20467e-05;2,3526471;-0,0004579;0,0720467;2,352647144560956;-3,8269e-06;0,0004318388;-9,904e-07
32;EX;0,0023366521;4,4941e-06;2,02956e-05;2,3366521;0,0044941;0,0202956;2,3366564217636316;-1,90406e-05;-0,000215242;-9,904e-07
33;EX;0,0023438326;4,4941e-06;-0,0001392978;2,3438326;0,0044941;-0,1392978;2,343836908523622;-7,8765e-06;-0,0002138208;-9,904e-07
34;EX;0,0023526471;4,4941e-06;-4,26956e-05;2,3526471;0,0044941;-0,0426956;2,3526513923812042;9,362e-06;-0,0002390531;-9,904e-07
35;EX;0,0023325717;6,9602e-06;-0,0003103175;2,3325717;0,0069602;-0,3103175;2,3325820843059155;-1,14994e-05;-2,24182e-05;-9,904e-07
36;EX;0,0023366521;6,9602e-06;-0,0003752902;2,3366521;0,0069602;-0,37529019999999996;2,3366624661723074;-1,64291e-05;-5,03996e-05;-9,904e-07
37;EX;0,0023438326;6,9602e-06;-0,0005090491;2,3438326;0,0069602;-0,5090490999999999;2,343842934414932;-1,08832e-05;-2,98853e-05;-9,904e-07
38;EX;0,0023366521;9,4461e-06;4,706e-06;2,3366521;0,009446099999999999;0,004706;2,336671193223304;-4,2577e-06;0,0004634812;-9,904e-07
39;EX;0,0023438326;9,4461e-06;-1,0958e-06;2,3438326;0,009446099999999999;-0,0010957999999999999;2,343851634730315;-2,494e-06;0,0004899203;-9,904e-07
40;EX;0,0023526471;9,4461e-06;-4,262e-07;2,3526471;0,009446099999999999;-0,0004262;2,3526660634147847;-9,096e-07;0,0004882609;-9,904e-07
41;EX;0,0023366521;1,43981e-05;-2,99787e-05;2,3366521;0,0143981;-0,0299787;2,33669645904598;9,56e-07;-0,0002395124;-9,904e-07
42;EX;0,0023438326;1,43981e-05;-7,5877e-06;2,3438326;0,0143981;-0,0075877;2,343876823151415;1,2182e-06;-0,000245163;-9,904e-07
43;EX;0,0023526471;1,43981e-05;-5,7917e-06;2,3526471;0,0143981;-0,0057917;2,3526911574667038;-1,194e-06;-0,0002451133;-9,904e-07
44;EX;0,0023366521;1,93501e-05;7,6608e-06;2,3366521;0,0193501;0,0076608;2,3367322188912487;-1,967e-06;0,0004943147;-9,904e-07
45;EX;0,0023438326;1,93501e-05;1,6906e-06;2,3438326;0,0193501;0,0016906;2,3439124734496315;-2,1701e-06;0,0004944444;-9,904e-07
46;EX;0,0023526471;1,93501e-05;8,518e-07;2,3526471;0,0193501;0,0008518;2,3527266742034487;-3,3963e-06;0,0004929447;-9,904e-07
47;EX;0,0023366521;2,43021e-05;0,000137164;2,3366521;0,0243021;0,137164;2,3367784722773397;4,0321e-06;-0,0002248793;-9,904e-07
48;EX;0,0023438326;2,43021e-05;0,000160348;2,3438326;0,0243021;0,160348;2,3439585851476066;-9,64e-07;-0,0002193368;-9,904e-07
49;EX;0,0023526471;2,43021e-05;0,0001200132;2,3526471;0,0243021;0,1200132;2,3527726131530047;-6,7323e-06;-0,0002258128;-9,904e-07
50;EX;0,0023366521;2,92541e-05;-6,68165e-05;2,3366521;0,0292541;-0,0668165;2,3368352185811516;6,7245e-06;0,0003625039;-9,904e-07
51;EX;0,0023438326;2,92541e-05;-6,59061e-05;2,3438326;0,0292541;-0,0659061;2,3440151576279473;-4,3583e-06;0,0003384654;-9,904e-07
52;EX;0,0023526471;2,92541e-05;-6,99039e-05;2,3526471;0,0292541;-0,0699039;2,352828973704893;-1,09678e-05;0,0003697449;-9,904e-07
53;EX;0,0023366521;3,42061e-05;0,0001000235;2,3366521;0,034206099999999996;0,1000235;2,336902457038295;-3,8304e-06;0,0005155186;-9,904e-07
54;EX;0,0023438326;3,42061e-05;9,82313e-05;2,3438326;0,034206099999999996;0,0982313;2,3440821901332662;-3,542e-06;0,0005194413;-9,904e-07
55;EX;0,0023526471;3,42061e-05;9,87173e-05;2,3526471;0,034206099999999996;0,09871730000000001;2,3528957551102048;-5,6322e-06;0,0005162216;-9,904e-07
56;EX;0,0042749584;2,267e-07;-7,76754e-05;4,2749584;0,0002267;-0,0776754;4,2749584060109225;-4,3847e-06;0,0004534805;-7,142e-07
57;EX;0,0042801365;2,267e-07;-7,96083e-05;4,2801365;0,0002267;-0,07960829999999999;4,280136506003651;-3,885e-07;0,0004478683;-7,142e-07
58;EX;0,004286493;2,267e-07;-8,34967e-05;4,286493;0,0002267;-0,0834967;4,286493005994748;-3,0567e-06;0,0004429294;-7,142e-07
59;EX;0,0042720159;7,3689e-06;-3,5957e-06;4,2720159;0,0073689;-0,0035957000000000003;4,272022255389129;1,21336e-05;0,0001226736;-7,142e-07
60;EX;0,0042749584;7,3689e-06;4,12207e-05;4,2749584;0,0073689;0,041220700000000006;4,274964751014652;2,519e-07;0,0003360589;-7,142e-07
61;EX;0,0042801365;7,3689e-06;1,25166e-05;4,2801365;0,0073689;0,0125166;4,28014284333122;-9,604e-07;0,0003588539;-7,142e-07
62;EX;0,004286493;7,3689e-06;7,23953e-05;4,286493;0,0073689;0,0723953;4,28649933392462;5,49e-08;0,0003483015;-7,142e-07
63;EX;0,0042749584;1,09399e-05;-1,6168e-05;4,2749584;0,0109399;-0,016168;4,274972397939262;2,7045e-06;-0,000178968;-7,142e-07
64;EX;0,0042801365;1,09399e-05;1,93902e-05;4,2801365;0,0109399;0,0193902;4,280150481004641;3,5046e-06;-0,0001783736;-7,142e-07
65;EX;0,004286493;1,09399e-05;4,39376e-05;4,286493;0,0109399;0,0439376;4,2865069602720824;8,825e-07;-0,000183043;-7,142e-07
66;EX;0,0042720159;1,27183e-05;-0,000324194;4,2720159;0,0127183;-0,324194;4,27203483190478;-1,4993e-06;5,71394e-05;-7,142e-07
67;EX;0,0042749584;1,27183e-05;-0,0003342515;4,2749584;0,0127183;-0,3342515;4,274977318873804;9,51e-08;-3,14439e-05;-7,142e-07
68;EX;0,0042801365;1,27183e-05;-0,0003163892;4,2801365;0,0127183;-0,3163892;4,280155395985892;2,2201e-06;-4,7587e-05;-7,142e-07
69;EX;0,0042732015;1,4511e-05;-1,60074e-05;4,2732015;0,014511000000000001;-0,016007399999999998;4,273226138261729;9,2719e-06;0,0003089137;-7,142e-07
70;EX;0,0042749584;1,4511e-05;3,826e-07;4,2749584;0,014511000000000001;0,0003826;4,274983028136083;1,1948e-06;0,0003454925;-7,142e-07
71;EX;0,0042801365;1,4511e-05;-8,848e-07;4,2801365;0,014511000000000001;-0,0008847999999999999;4,280161098341189;-9,764e-07;0,000343119;-7,142e-07
72;EX;0,004286493;1,4511e-05;-2,223e-07;4,286493;0,014511000000000001;-0,0002223;4,2865175618641755;-1,5361e-06;0,0003416642;-7,142e-07
73;EX;0,0042732015;1,80821e-05;1,98495e-05;4,2732015;0,0180821;0,0198495;4,273239757133065;-1,6723e-06;-0,0001618722;-7,142e-07
74;EX;0,0042749584;1,80821e-05;1,56741e-05;4,2749584;0,0180821;0,0156741;4,27499664141049;-1,7335e-06;-0,0001676396;-7,142e-07
75;EX;0,0042801365;1,80821e-05;2,8026e-06;4,2801365;0,0180821;0,0028026;4,280174695146527;-1,1226e-06;-0,0001705909;-7,142e-07
76;EX;0,004286493;1,80821e-05;-9,917e-07;4,286493;0,0180821;-0,0009916999999999999;4,286531138506917;-5,917e-07;-0,0001708559;-7,142e-07
77;EX;0,0042732015;2,16531e-05;3,73414e-05;4,2732015;0,0216531;0,037341400000000004;4,273256359773172;-1,20082e-05;0,0003020857;-7,142e-07
78;EX;0,0042749584;2,16531e-05;1,42817e-05;4,2749584;0,0216531;0,014281700000000001;4,275013237227479;-3,8699e-06;0,0003384425;-7,142e-07
79;EX;0,0042801365;2,16531e-05;1,844e-06;4,2801365;0,0216531;0,0018440000000000002;4,280191270886368;-1,1647e-06;0,0003418629;-7,142e-07
80;EX;0,004286493;2,16531e-05;6,318e-07;4,286493;0,0216531;0,0006318000000000001;4,286547689666897;-7,568e-07;0,0003423494;-7,142e-07
81;EX;0,0042749584;2,52242e-05;-1,94058e-05;4,2749584;0,025224200000000002;-0,0194058;4,275032816481787;-1,9854e-06;-0,0001822118;-7,142e-07
82;EX;0,0042801365;2,52242e-05;-2,564e-05;4,2801365;0,025224200000000002;-0,02564;4,28021082645445;-2,323e-07;-0,000181998;-7,142e-07
83;EX;0,004286493;2,52242e-05;-2,22766e-05;4,286493;0,025224200000000002;-0,0222766;4,286567216236628;3,949e-07;-0,0001814841;-7,142e-07
84;EX;0,0042749584;2,87953e-05;-0,000109978;4,2749584;0,0287953;-0,10997799999999999;4,275055378709456;-2,2538e-06;0,0003159254;-7,142e-07
85;EX;0,0042801365;2,87953e-05;-0,0001101664;4,2801365;0,0287953;-0,1101664;4,280233361387477;-4,278e-07;0,0003189963;-7,142e-07
86;EX;0,004286493;2,87953e-05;-0,0001141067;4,286493;0,0287953;-0,1141067;4,286589717753623;9,242e-07;0,0003145935;-7,142e-07
87;EX;0,0042749584;3,23663e-05;0,0001636868;4,2749584;0,0323663;0,1636868;4,275080923106164;-3,812e-07;0,0003634045;-7,142e-07
88;EX;0,0042801365;3,23663e-05;0,0001611133;4,2801365;0,0323663;0,1611133;4,280258874882212;-5,109e-07;0,0003619313;-7,142e-07
89;EX;0,004286493;3,23663e-05;0,0001610284;4,286493;0,0323663;0,1610284;4,286615193415977;3,878e-07;0,000362984;-7,142e-07
90;EX;0,0060520362;9,4006e-06;-8,99447e-05;6,0520362;0,009400599999999999;-0,0899447;6,0520435009499725;-1,1638e-06;0,0003842813;-8,658e-07
91;EX;0,0060583129;9,4006e-06;-9,21977e-05;6,0583129;0,009400599999999999;-0,09219770000000001;6,058320193385851;-1,6448e-06;0,0003850981;-8,658e-07
92;EX;0,0060660182;9,4006e-06;-9,59187e-05;6,0660182;0,009400599999999999;-0,0959187;6,066025484121511;-1,4718e-06;0,0003882312;-8,658e-07
93;EX;0,0060499064;1,80582e-05;4,69536e-05;6,0499064;0,0180582;0,0469536;6,049933350653394;-3,3765e-06;0,0002076031;-8,658e-07
94;EX;0,0060520362;1,80582e-05;4,11421e-05;6,0520362;0,0180582;0,0411421;6,052063141169108;-3,7813e-06;0,0003149628;-8,658e-07
95;EX;0,0060583129;1,80582e-05;1,41285e-05;6,0583129;0,0180582;0,0141285;6,058339813256899;-2,1561e-06;0,000324069;-8,658e-07
96;EX;0,0060660182;1,80582e-05;7,23494e-05;6,0660182;0,0180582;0,0723494;6,066045079070752;-1,5762e-06;0,0003258676;-8,658e-07
97;EX;0,0060499064;1,99629e-05;0,0003981227;6,0499064;0,019962900000000002;0,3981227;6,049939335740266;-9,3048e-06;0,0001135874;-8,658e-07
98;EX;0,0060520362;1,99629e-05;0,0003727381;6,0520362;0,019962900000000002;0,37273809999999996;6,052069124149761;-8,9001e-06;1,87806e-05;-8,658e-07
99;EX;0,0060583129;1,99629e-05;0,0003287768;6,0583129;0,019962900000000002;0,32877680000000004;6,058345790038962;-3,5994e-06;-6,7039e-06;-8,658e-07
100;EX;0,0060520362;2,2387e-05;8,28566e-05;6,0520362;0,022387;0,08285659999999999;6,052077605573102;-9,3668e-06;-0,0001703229;-8,658e-07
101;EX;0,0060583129;2,2387e-05;1,56283e-05;6,0583129;0,022387;0,0156283;6,058354262675253;-3,8825e-06;-0,0001662938;-8,658e-07
102;EX;0,0060660182;2,2387e-05;3,14673e-05;6,0660182;0,022387;0,031467300000000004;6,066059510135079;1,1216e-06;-0,0001736988;-8,658e-07
103;EX;0,0060484692;2,67158e-05;-7,7514e-06;6,0484691999999995;0,026715799999999998;-0,0077514;6,048528200919483;-9,54e-08;0,0001676781;-8,658e-07
104;EX;0,0060520362;2,67158e-05;-4,1331e-06;6,0520362;0,026715799999999998;-0,004133100000000001;6,052095166145365;-3,3003e-06;0,0003100357;-8,658e-07
105;EX;0,0060583129;2,67158e-05;-9,055e-07;6,0583129;0,026715799999999998;-0,0009055;6,05837180505423;-3,16e-06;0,0003258006;-8,658e-07
