nodoTag;caso;ux_m;uy_m;uz_m;ux_mm;uy_mm;uz_mm;u_planta_mm;rx_rad;ry_rad;rz_rad
1;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
3;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
4;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
5;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
6;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
7;EY;0,000225373;0,0045311175;0,0003361103;0,22537300000000002;4,5311175;0,33611030000000003;4,536718945221893;-0,0010633503;0,000101263;2,90513e-05
8;EY;1,47513e-05;0,0045311175;-0,0001691133;0,0147513;4,5311175;-0,1691133;4,531141511766979;-0,0008633002;1,54856e-05;2,90513e-05
9;EY;-0,0002438051;0,0045311175;-0,0002319917;-0,2438051;4,5311175;-0,2319917;4,537671949975258;-0,0010538282;-8,90392e-05;2,90513e-05
10;EY;0,000176341;0,0040133046;0,0002436882;0,176341;4,0133046;0,2436882;4,01717686449852;-0,0005004847;5,43433e-05;-0,0003467011
11;EY;1,47513e-05;0,0042406047;-7,79067e-05;0,0147513;4,2406047000000004;-0,07790670000000001;4,240630356741057;-0,0007565253;2,01211e-05;2,90513e-05
12;EY;-0,0001743023;0,0039595009;-0,0001780616;-0,1743023;3,9595009;-0,1780616;3,9633355483589954;-0,0005143839;-4,49421e-05;-0,0003900465
13;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
14;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
15;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
16;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
17;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
18;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
