nodoTag;caso;ux_m;uy_m;uz_m;ux_mm;uy_mm;uz_mm;u_planta_mm;rx_rad;ry_rad;rz_rad
1;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
3;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
4;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
5;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
6;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
7;G;-3,61532e-05;-1,46441e-05;-0,0002861924;-0,036153199999999996;-0,014644099999999998;-0,28619239999999996;0,039006455043364294;2,96526e-05;-7,49475e-05;-2,024e-07
8;G;-3,46857e-05;-1,46441e-05;-0,0004387188;-0,0346857;-0,014644099999999998;-0,4387188;0,03765033133054741;-1,26874e-05;-0,0001193696;-2,024e-07
9;G;-3,28841e-05;-1,46441e-05;-0,0003463654;-0,0328841;-0,014644099999999998;-0,3463654;0,0359974123739471;-6,36228e-05;-9,33966e-05;-2,024e-07
10;G;-0,0001384027;-8,6092e-06;-0,0006686657;-0,1384027;-0,008609200000000001;-0,6686656999999999;0,1386702047735201;4,10738e-05;-7,53466e-05;-1,42516e-05
11;G;-3,46857e-05;-1,26199e-05;-0,0008190486;-0,0346857;-0,0126199;-0,8190486;0,03691015660356916;-2,53912e-05;0,0001108703;-2,024e-07
12;G;-0,0001295314;4,8498e-06;-0,0005929553;-0,1295314;0,0048498;-0,5929553000000001;0,12962215916269873;-3,10629e-05;-6,37102e-05;9,464e-06
13;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
14;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
15;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
16;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
17;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
18;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
20;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
21;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
22;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
23;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
24;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
25;G;-0,0001606148;-9,10604e-05;-0,0005273019;-0,1606148;-0,0910604;-0,5273019;0,1846323656004006;0,0001150512;-7,26937e-05;-6,039e-07
26;G;-0,0001562368;-9,10604e-05;-0,0008146893;-0,1562368;-0,0910604;-0,8146893000000001;0,18083676098183135;-8,52058e-05;-0,0001032778;-6,039e-07
27;G;-0,0001508625;-9,10604e-05;-0,0006465162;-0,15086249999999998;-0,0910604;-0,6465162000000001;0,17621433072939896;0,0001103905;-0,0001174447;-6,039e-07
28;G;-0,0001631027;-8,50219e-05;-0,0024035779;-0,16310270000000002;-0,08502190000000001;-2,4035778999999997;0,18393263502407614;0,000297464;-0,0003250069;-6,039e-07
29;G;-0,0001606148;-8,50219e-05;-0,0013158698;-0,1606148;-0,08502190000000001;-1,3158698;0,1817301225957051;5,22612e-05;-0,0002002009;-6,039e-07
30;G;-0,0001562368;-8,50219e-05;-0,0016109851;-0,1562368;-0,08502190000000001;-1,6109851;0,17787259809720554;1,2817e-06;-0,0002265035;-6,039e-07
31;G;-0,0001508625;-8,50219e-05;-0,0011340496;-0,15086249999999998;-0,08502190000000001;-1,1340496;0,17317106393927365;0,0001702751;-9,04737e-05;-6,039e-07
32;G;-0,0001606148;-8,20026e-05;-0,00421338;-0,1606148;-0,08200260000000001;-4,21338;0,18033729615861496;-0,0001214058;-9,11493e-05;-6,039e-07
33;G;-0,0001562368;-8,20026e-05;-0,0047817857;-0,1562368;-0,08200260000000001;-4,7817857;0,17644932439938668;-4,84543e-05;6,93131e-05;-6,039e-07
34;G;-0,0001508625;-8,20026e-05;-0,0028098183;-0,15086249999999998;-0,08200260000000001;-2,8098183;0,17170882421416203;0,0005089699;0,0001078134;-6,039e-07
35;G;-0,0001631027;-8,0499e-05;-0,003706221;-0,16310270000000002;-0,080499;-3,706221;0,18188617250437156;0,0002036658;0,0002501815;-6,039e-07
36;G;-0,0001606148;-8,0499e-05;-0,003098168;-0,1606148;-0,080499;-3,0981680000000003;0,17965857335523958;-2,9839e-06;0,0009139559;-6,039e-07
37;G;-0,0001562368;-8,0499e-05;-0,003004763;-0,1562368;-0,080499;-3,004763;0,17575558789193588;5,11918e-05;0,0011125141;-6,039e-07
38;G;-0,0001606148;-7,89833e-05;-0,0008153567;-0,1606148;-0,0789833;-0,8153566999999999;0,17898456821170367;-2,61667e-05;0,0002454076;-6,039e-07
