nodoTag;caso;ux_m;uy_m;uz_m;ux_mm;uy_mm;uz_mm;u_planta_mm;rx_rad;ry_rad;rz_rad
1;Q;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2;Q;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
3;Q;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
4;Q;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
5;Q;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
6;Q;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
7;Q;-1,25275e-05;-5,3053e-06;-8,1742e-05;-0,0125275;-0,0053053;-0,08174200000000001;0,013604575125302517;7,3619e-06;-4,58929e-05;-5,49e-08
8;Q;-1,21297e-05;-5,3053e-06;-0,0001589943;-0,0121297;-0,0053053;-0,1589943;0,013239177851362222;-6,9059e-06;-7,68982e-05;-5,49e-08
9;Q;-1,16413e-05;-5,3053e-06;-0,0001158561;-0,0116413;-0,0053053;-0,1158561;0,01279320420301341;-2,37721e-05;-6,17657e-05;-5,49e-08
10;Q;-4,23658e-05;-5,5534e-06;-0,0002022447;-0,0423658;-0,0055534;-0,2022447;0,04272822557982019;1,2635e-05;-1,95388e-05;-3,88e-06
11;Q;-1,21297e-05;-4,7567e-06;-0,000339181;-0,0121297;-0,0047567;-0,33918099999999995;0,01302903745408693;-9,023e-06;7,48941e-05;-5,49e-08
12;Q;-4,62993e-05;6,5248e-06;-0,0002078478;-0,0462993;0,0065248;-0,2078478;0,04675679838836274;-1,1047e-05;-1,81417e-05;2,6404e-06
13;Q;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
14;Q;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
15;Q;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
16;Q;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
17;Q;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
18;Q;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19;Q;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
20;Q;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
21;Q;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
22;Q;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
23;Q;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
24;Q;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
25;Q;-5,51764e-05;-2,7995e-05;-0,0001518112;-0,0551764;-0,027995;-0,1518112;0,061872086937164165;3,36216e-05;-4,11768e-05;-2,172e-07
26;Q;-5,36016e-05;-2,7995e-05;-0,0002962667;-0,0536016;-0,027995;-0,2962667;0,06047190709379025;-4,24321e-05;-6,45756e-05;-2,172e-07
