id,tipo,seccion,b_cm,h_cm,A_m2,nodo_i,nodo_j,xi_cm,yi_cm,zi_cm,xj_cm,yj_cm,zj_cm,L_m,Fx_kN,Fy_kN,Fz_kN,Mx_kNm,My_kNm,Mz_kNm
1,column,70x70,70.0,70.0,0.49,1,7,0,0,0,0,0,356.0,3.56,-12.938569,-5.073809,984.791116,4.86496,-12.499939,0.029579
2,column,70x70,70.0,70.0,0.49,4,10,-1000,0,0,-1000,0,356.0,3.56,0.570185,-8.581351,2300.886322,9.503617,11.601721,2.082559
3,column,70x70,70.0,70.0,0.49,2,8,0,725.0,0,0,725.0,356.0,3.56,-23.653469,4.952761,1509.636312,-7.033237,-25.330798,0.029579
4,column,70x70,70.0,70.0,0.49,5,11,-1000,725.0,0,-1000,725.0,356.0,3.56,30.869915,7.691873,2818.355349,-10.123865,39.370285,0.029579
5,column,70x70,70.0,70.0,0.49,3,9,0,1615.0,0,0,1615.0,356.0,3.56,-17.742449,17.01484,1191.847252,-21.346904,-18.458596,0.029579
6,column,70x70,70.0,70.0,0.49,6,12,-1000,1615.0,0,-1000,1615.0,356.0,3.56,2.145585,6.710837,2040.365779,-7.5807,12.770925,-1.382953
7,beam_x,60x80,60.0,80.0,0.48,7,10,0,0,356.0,-1000,0,356.0,10.0,122.699362,0.286136,53.463964,-0.760195,79.685834,-0.92491
8,beam_x,60x80,60.0,80.0,0.48,8,11,0,725.0,356.0,-1000,725.0,356.0,10.0,0.0,-0.0,100.168528,0.845568,160.860728,0.0
9,beam_x,60x80,60.0,80.0,0.48,9,12,0,1615.0,356.0,-1000,1615.0,356.0,10.0,115.976769,-0.284263,82.693202,-2.167185,122.125109,1.073324
10,beam_y,60x80,60.0,80.0,0.48,7,8,0,0,356.0,0,725.0,356.0,7.25,-2.575452,7.016812,-16.392487,-43.338268,-13.047402,4.648038
11,beam_y,60x80,60.0,80.0,0.48,10,11,-1000,0,356.0,-1000,725.0,356.0,7.25,-10.149428,3.655178,-82.133655,-157.796671,-13.826932,17.000938
12,beam_y,60x80,60.0,80.0,0.48,8,9,0,725.0,356.0,0,1615.0,356.0,8.9,-0.687218,-1.684117,4.717293,-33.717237,-13.453717,1.980988
13,beam_y,60x80,60.0,80.0,0.48,11,12,-1000,725.0,356.0,-1000,1615.0,356.0,8.9,-1.686688,-19.665827,-48.803031,-145.682582,16.577219,3.73073
14,column,70x70,70.0,70.0,0.49,7,25,0,0,356.0,0,0,712.0,3.56,-18.404718,-24.101042,829.660606,30.900663,-33.077065,0.058661
15,column,70x70,70.0,70.0,0.49,10,29,-1000,0,356.0,-1000,0,712.0,3.56,-62.297612,-11.93682,2227.036519,19.675614,-93.346728,-1.994319
16,column,70x70,70.0,70.0,0.49,8,26,0,725.0,356.0,0,725.0,712.0,3.56,-36.55422,33.348621,1293.718723,-49.171133,-67.327539,0.058661
17,column,70x70,70.0,70.0,0.49,11,30,-1000,725.0,356.0,-1000,725.0,712.0,3.56,-11.21207,15.341755,2725.062326,-31.056088,27.446228,0.058661
18,column,70x70,70.0,70.0,0.49,9,27,0,1615.0,356.0,0,1615.0,712.0,3.56,-34.233726,-0.908676,1032.822329,-22.832807,-57.557082,0.058661
19,column,70x70,70.0,70.0,0.49,12,31,-1000,1615.0,356.0,-1000,1615.0,712.0,3.56,-33.674566,-21.010469,1861.911629,9.109041,-56.180241,1.471194
20,beam_x,60x80,60.0,80.0,0.48,25,29,0,0,712.0,-1000,0,712.0,10.0,0.0,0.0,51.874909,4.179304,79.875471,-0.0
21,beam_x,60x80,60.0,80.0,0.48,26,30,0,725.0,712.0,-1000,725.0,712.0,10.0,0.0,0.0,91.025916,-5.75661,137.769472,-0.0
22,beam_x,60x80,60.0,80.0,0.48,27,31,0,1615.0,712.0,-1000,1615.0,712.0,10.0,0.0,0.0,82.592482,-3.98592,121.795295,-0.0
23,beam_y,60x80,60.0,80.0,0.48,25,26,0,0,712.0,0,725.0,712.0,7.25,-12.257334,-8.916947,-36.304818,-58.770262,-12.344156,22.153482
24,beam_y,60x80,60.0,80.0,0.48,29,30,-1000,0,712.0,-1000,725.0,712.0,7.25,0.0,0.0,76.922922,121.275152,2.414767,-0.0
