elementTag;caso;tipo;seccion;global_i_Fx_kN;global_i_Fy_kN;global_i_Fz_kN;global_i_Mx_kNm;global_i_My_kNm;global_i_Mz_kNm;global_j_Fx_kN;global_j_Fy_kN;global_j_Fz_kN;global_j_Mx_kNm;global_j_My_kNm;global_j_Mz_kNm;local_i_N_kN;local_i_Vy_kN;local_i_Vz_kN;local_i_T_kNm;local_i_My_kNm;local_i_Mz_kNm;local_j_N_kN;local_j_Vy_kN;local_j_Vz_kN;local_j_T_kNm;local_j_My_kNm;local_j_Mz_kNm;unity_abs_i_N_kN;unity_abs_i_Vy_kN;unity_abs_i_Vz_kN;unity_abs_i_T_kNm;unity_abs_i_My_kNm;unity_abs_i_Mz_kNm;unity_abs_j_N_kN;unity_abs_j_Vy_kN;unity_abs_j_Vz_kN;unity_abs_j_T_kNm;unity_abs_j_My_kNm;unity_abs_j_Mz_kNm
1;COMBO;column;70x70;-69,53543978;-498,34392058;-13,19535119;1089,31642045;-181,19485533;-5,86115976;69,53543978;498,34392058;13,19535119;684,78793682;-66,35131028;5,86115976;-13,19535119;498,34392058;-69,53543978;-5,86115976;181,19485533;1089,31642045;13,19535119;-498,34392058;69,53543978;5,86115976;66,35131028;684,78793682;13,19535119;498,34392058;69,53543978;5,86115976;181,19485533;1089,31642045;13,19535119;498,34392058;69,53543978;5,86115976;66,35131028;684,78793682
2;COMBO;column;70x70;-51,33862541;-586,03854482;1981,87927933;1137,18605621;-96,98742971;83,91658135;51,33862541;586,03854482;-1981,87927933;949,11116336;-85,77807674;-83,91658135;1981,87927933;586,03854482;-51,33862541;83,91658135;96,98742971;1137,18605621;-1981,87927933;-586,03854482;51,33862541;-83,91658135;85,77807674;949,11116336;1981,87927933;586,03854482;51,33862541;83,91658135;96,98742971;1137,18605621;1981,87927933;586,03854482;51,33862541;83,91658135;85,77807674;949,11116336
3;COMBO;column;70x70;-91,40382792;-547,70532659;3321,61828637;1147,89195558;-184,19082216;-5,86115976;91,40382792;547,70532659;-3321,61828637;801,93900709;-141,20680525;5,86115976;3321,61828637;547,70532659;-91,40382792;-5,86115976;184,19082216;1147,89195558;-3321,61828637;-547,70532659;91,40382792;5,86115976;141,20680525;801,93900709;3321,61828637;547,70532659;91,40382792;5,86115976;184,19082216;1147,89195558;3321,61828637;547,70532659;91,40382792;5,86115976;141,20680525;801,93900709
4;COMBO;column;70x70;10,63331293;-525,940546;4890,46911686;1090,40300844;-63,10674835;-5,86115976;-10,63331293;525,940546;-4890,46911686;781,94533532;100,96134237;5,86115976;4890,46911686;525,940546;10,63331293;-5,86115976;63,10674835;1090,40300844;-4890,46911686;-525,940546;-10,63331293;5,86115976;-100,96134237;781,94533532;4890,46911686;525,940546;10,63331293;5,86115976;63,10674835;1090,40300844;4890,46911686;525,940546;10,63331293;5,86115976;100,96134237;781,94533532
5;COMBO;column;70x70;-60,49249863;-464,9049484;3101,53861941;1049,6355068;-119,33072539;-5,86115976;60,49249863;464,9049484;-3101,53861941;605,42610952;-96,02256973;5,86115976;3101,53861941;464,9049484;-60,49249863;-5,86115976;119,33072539;1049,6355068;-3101,53861941;-464,9049484;60,49249863;5,86115976;96,02256973;605,42610952;3101,53861941;464,9049484;60,49249863;5,86115976;119,33072539;1049,6355068;3101,53861941;464,9049484;60,49249863;5,86115976;96,02256973;605,42610952
6;COMBO;column;70x70;-17,10822299;-564,17534984;3668,20942599;1107,16600073;-19,06426184;63,90030849;17,10822299;564,17534984;-3668,20942599;901,29824468;-41,84101199;-63,90030849;3668,20942599;564,17534984;-17,10822299;63,90030849;19,06426184;1107,16600073;-3668,20942599;-564,17534984;17,10822299;-63,90030849;41,84101199;901,29824468;3668,20942599;564,17534984;17,10822299;63,90030849;19,06426184;1107,16600073;3668,20942599;564,17534984;17,10822299;63,90030849;41,84101199;901,29824468
7;COMBO;beam_x;60x80;951,85520407;14,61316124;129,94500033;-51,26809586;312,43574573;-50,94826165;-951,85520407;-14,61316124;86,58986127;51,26809586;-95,66005044;-95,18335075;-951,85520407;-14,61316124;129,94500033;51,26809586;-312,43574573;-50,94826165;951,85520407;14,61316124;86,58986127;-51,26809586;95,66005044;-95,18335075;951,85520407;14,61316124;129,94500033;51,26809586;312,43574573;50,94826165;951,85520407;14,61316124;86,58986127;51,26809586;95,66005044;95,18335075
8;COMBO;beam_x;60x80;0,0;0,0;219,44084402;-8,88094009;444,14038116;-0,0;0,0;-0,0;155,85167618;8,88094009;-126,194542;-0,0;0,0;-0,0;219,44084402;8,88094009;-444,14038116;-0,0;0,0;0,0;155,85167618;-8,88094009;126,194542;-0,0;0,0;0,0;219,44084402;8,88094009;444,14038116;0,0;0,0;0,0;155,85167618;8,88094009;126,194542;0,0
9;COMBO;beam_x;60x80;741,61048144;11,87750232;168,32611793;-56,45238809;295,49703743;-42,20115379;-741,61048144;-11,87750232;165,65138047;56,45238809;-282,12335011;-76,5738694;-741,61048144;-11,87750232;168,32611793;56,45238809;-295,49703743;-42,20115379;741,61048144;11,87750232;165,65138047;-56,45238809;282,12335011;-76,5738694;741,61048144;11,87750232;168,32611793;56,45238809;295,49703743;42,20115379;741,61048144;11,87750232;165,65138047;56,45238809;282,12335011;76,5738694
10;COMBO;beam_y;60x80;96,84805847;-73,15102416;-638,68773255;-1293,74939385;65,13993682;-171,62421332;-96,84805847;73,15102416;704,49656515;-1140,77214574;-65,13993682;-179,44999862;-73,15102416;-96,84805847;-638,68773255;65,13993682;1293,74939385;-171,62421332;73,15102416;96,84805847;704,49656515;-65,13993682;1140,77214574;-179,44999862;73,15102416;96,84805847;638,68773255;65,13993682;1293,74939385;171,62421332;73,15102416;96,84805847;704,49656515;65,13993682;1140,77214574;179,44999862
