elementTag;caso;tipo;seccion;global_i_Fx_kN;global_i_Fy_kN;global_i_Fz_kN;global_i_Mx_kNm;global_i_My_kNm;global_i_Mz_kNm;global_j_Fx_kN;global_j_Fy_kN;global_j_Fz_kN;global_j_Mx_kNm;global_j_My_kNm;global_j_Mz_kNm;local_i_N_kN;local_i_Vy_kN;local_i_Vz_kN;local_i_T_kNm;local_i_My_kNm;local_i_Mz_kNm;local_j_N_kN;local_j_Vy_kN;local_j_Vz_kN;local_j_T_kNm;local_j_My_kNm;local_j_Mz_kNm;unity_abs_i_N_kN;unity_abs_i_Vy_kN;unity_abs_i_Vz_kN;unity_abs_i_T_kNm;unity_abs_i_My_kNm;unity_abs_i_Mz_kNm;unity_abs_j_N_kN;unity_abs_j_Vy_kN;unity_abs_j_Vz_kN;unity_abs_j_T_kNm;unity_abs_j_My_kNm;unity_abs_j_Mz_kNm
1;EX;column;70x70;-26,00220965;0,13671137;102,11664661;-0,86799028;-86,70348711;0,02758983;26,00220965;-0,13671137;-102,11664661;0,3812978;-5,86437926;-0,02758983;102,11664661;-0,13671137;-26,00220965;0,02758983;86,70348711;-0,86799028;-102,11664661;0,13671137;26,00220965;-0,02758983;5,86437926;0,3812978;102,11664661;0,13671137;26,00220965;0,02758983;86,70348711;0,86799028;102,11664661;0,13671137;26,00220965;0,02758983;5,86437926;0,3812978
2;EX;column;70x70;-27,28882689;5,77557722;-215,11640469;-7,21819075;-55,97714573;7,08755034;27,28882689;-5,77557722;215,11640469;-13,34286415;-41,171078;-7,08755034;-215,11640469;-5,77557722;-27,28882689;7,08755034;55,97714573;-7,21819075;215,11640469;5,77557722;27,28882689;-7,08755034;41,171078;-13,34286415;215,11640469;5,77557722;27,28882689;7,08755034;55,97714573;7,21819075;215,11640469;5,77557722;27,28882689;7,08755034;41,171078;13,34286415
3;EX;column;70x70;-34,86398008;1,24504639;105,90341268;-2,18321451;-97,3275069;0,02758983;34,86398008;-1,24504639;-105,90341268;-2,24915066;-26,78826218;-0,02758983;105,90341268;-1,24504639;-34,86398008;0,02758983;97,3275069;-2,18321451;-105,90341268;1,24504639;34,86398008;-0,02758983;26,78826218;-2,24915066;105,90341268;1,24504639;34,86398008;0,02758983;97,3275069;2,18321451;105,90341268;1,24504639;34,86398008;0,02758983;26,78826218;2,24915066
4;EX;column;70x70;-35,48815266;0,7732103;-24,27981383;-1,47426479;-98,06819169;0,02758983;35,48815266;-0,7732103;24,27981383;-1,27836386;-28,26963176;-0,02758983;-24,27981383;-0,7732103;-35,48815266;0,02758983;98,06819169;-1,47426479;24,27981383;0,7732103;35,48815266;-0,02758983;28,26963176;-1,27836386;24,27981383;0,7732103;35,48815266;0,02758983;98,06819169;1,47426479;24,27981383;0,7732103;35,48815266;0,02758983;28,26963176;1,27836386
5;EX;column;70x70;-30,01000871;2,07716771;110,75654906;-3,17066514;-91,70010429;0,02758983;30,01000871;-2,07716771;-110,75654906;-4,22405192;-15,13552672;-0,02758983;110,75654906;-2,07716771;-30,01000871;0,02758983;91,70010429;-3,17066514;-110,75654906;2,07716771;30,01000871;-0,02758983;15,13552672;-4,22405192;110,75654906;2,07716771;30,01000871;0,02758983;91,70010429;3,17066514;110,75654906;2,07716771;30,01000871;0,02758983;15,13552672;4,22405192
6;EX;column;70x70;-27,93668206;-5,02301253;-252,30920637;5,34035263;-57,40118298;-9,89276304;27,93668206;5,02301253;252,30920637;12,54157198;-42,05340515;9,89276304;-252,30920637;5,02301253;-27,93668206;-9,89276304;57,40118298;5,34035263;252,30920637;-5,02301253;27,93668206;9,89276304;42,05340515;12,54157198;252,30920637;5,02301253;27,93668206;9,89276304;57,40118298;5,34035263;252,30920637;5,02301253;27,93668206;9,89276304;42,05340515;12,54157198
7;EX;beam_x;60x80;490,31158248;1,03305098;12,36159931;1,74655899;76,84669828;-3,42597085;-490,31158248;-1,03305098;-12,36159931;-1,74655899;46,76929481;-6,90453891;-490,31158248;-1,03305098;12,36159931;-1,74655899;-76,84669828;-3,42597085;490,31158248;1,03305098;-12,36159931;1,74655899;-46,76929481;-6,90453891;490,31158248;1,03305098;12,36159931;1,74655899;76,84669828;3,42597085;490,31158248;1,03305098;12,36159931;1,74655899;46,76929481;6,90453891
8;EX;beam_x;60x80;0,0;-0,0;18,88619273;-0,0620174;94,59965097;0,0;-0,0;0,0;-18,88619273;0,0620174;94,2622763;0,0;0,0;0,0;18,88619273;0,0620174;-94,59965097;0,0;0,0;-0,0;-18,88619273;-0,0620174;-94,2622763;0,0;0,0;0,0;18,88619273;0,0620174;94,59965097;0,0;0,0;0,0;18,88619273;0,0620174;94,2622763;0,0
9;EX;beam_x;60x80;484,00954623;-1,46290143;11,74922629;-1,955144;72,68795799;4,87054002;-484,00954623;1,46290143;-11,74922629;1,955144;44,80430487;9,75847424;-484,00954623;1,46290143;11,74922629;1,955144;-72,68795799;4,87054002;484,00954623;-1,46290143;-11,74922629;-1,955144;-44,80430487;9,75847424;484,00954623;1,46290143;11,74922629;1,955144;72,68795799;4,87054002;484,00954623;1,46290143;11,74922629;1,955144;44,80430487;9,75847424
10;EX;beam_y;60x80;57,56124775;-0,41254425;-4,09571629;-6,64984287;46,08409497;-104,34741415;-57,56124775;0,41254425;4,09571629;-8,19712869;-46,08409497;-104,31210892;-0,41254425;-57,56124775;-4,09571629;46,08409497;6,64984287;-104,34741415;0,41254425;57,56124775;4,09571629;-46,08409497;8,19712869;-104,31210892;0,41254425;57,56124775;4,09571629;46,08409497;6,64984287;104,34741415;0,41254425;57,56124775;4,09571629;46,08409497;8,19712869;104,31210892
