elementTag;caso;tipo;seccion;global_i_Fx_kN;global_i_Fy_kN;global_i_Fz_kN;global_i_Mx_kNm;global_i_My_kNm;global_i_Mz_kNm;global_j_Fx_kN;global_j_Fy_kN;global_j_Fz_kN;global_j_Mx_kNm;global_j_My_kNm;global_j_Mz_kNm;local_i_N_kN;local_i_Vy_kN;local_i_Vz_kN;local_i_T_kNm;local_i_My_kNm;local_i_Mz_kNm;local_j_N_kN;local_j_Vy_kN;local_j_Vz_kN;local_j_T_kNm;local_j_My_kNm;local_j_Mz_kNm;unity_abs_i_N_kN;unity_abs_i_Vy_kN;unity_abs_i_Vz_kN;unity_abs_i_T_kNm;unity_abs_i_My_kNm;unity_abs_i_Mz_kNm;unity_abs_j_N_kN;unity_abs_j_Vy_kN;unity_abs_j_Vz_kN;unity_abs_j_T_kNm;unity_abs_j_My_kNm;unity_abs_j_Mz_kNm
1;EY;column;70x70;-6,00340768;-351,00656035;-1156,55944627;774,20086037;-24,91432867;-4,24521324;6,00340768;351,00656035;1156,55944627;475,38249447;3,54219734;4,24521324;-1156,55944627;351,00656035;-6,00340768;-4,24521324;24,91432867;774,20086037;1156,55944627;-351,00656035;6,00340768;4,24521324;-3,54219734;475,38249447;1156,55944627;351,00656035;6,00340768;4,24521324;24,91432867;774,20086037;1156,55944627;351,00656035;6,00340768;4,24521324;3,54219734;475,38249447
2;EY;column;70x70;-10,59131078;-415,40960775;-838,53399945;809,75118267;-26,48819829;50,66282754;10,59131078;415,40960775;838,53399945;669,10702094;-11,21686808;-50,66282754;-838,53399945;415,40960775;-10,59131078;50,66282754;26,48819829;809,75118267;838,53399945;-415,40960775;10,59131078;-50,66282754;11,21686808;669,10702094;838,53399945;415,40960775;10,59131078;50,66282754;26,48819829;809,75118267;838,53399945;415,40960775;10,59131078;50,66282754;11,21686808;669,10702094
3;EY;column;70x70;1,70466419;-398,38066487;581,92063932;830,41813106;0,85844543;-4,24521324;-1,70466419;398,38066487;-581,92063932;587,81703587;5,21015908;4,24521324;581,92063932;398,38066487;1,70466419;-4,24521324;-0,85844543;830,41813106;-581,92063932;-398,38066487;-1,70466419;4,24521324;-5,21015908;587,81703587;581,92063932;398,38066487;1,70466419;4,24521324;0,85844543;830,41813106;581,92063932;398,38066487;1,70466419;4,24521324;5,21015908;587,81703587
4;EY;column;70x70;2,80238059;-385,01633012;268,07772229;791,62689684;2,16106889;-4,24521324;-2,80238059;385,01633012;-268,07772229;579,03123838;7,815406;4,24521324;268,07772229;385,01633012;2,80238059;-4,24521324;-2,16106889;791,62689684;-268,07772229;-385,01633012;-2,80238059;4,24521324;-7,815406;579,03123838;268,07772229;385,01633012;2,80238059;4,24521324;2,16106889;791,62689684;268,07772229;385,01633012;2,80238059;4,24521324;7,815406;579,03123838
5;EY;column;70x70;11,35035524;-353,26150802;798,28603812;776,87673161;32,71434453;-4,24521324;-11,35035524;353,26150802;-798,28603812;480,73423696;7,69292012;4,24521324;798,28603812;353,26150802;11,35035524;-4,24521324;-32,71434453;776,87673161;-798,28603812;-353,26150802;-11,35035524;4,24521324;-7,69292012;480,73423696;798,28603812;353,26150802;11,35035524;4,24521324;32,71434453;776,87673161;798,28603812;353,26150802;11,35035524;4,24521324;7,69292012;480,73423696
6;EY;column;70x70;12,54637821;-404,96008754;612,71207276;793,10398207;28,64728272;56,9968261;-12,54637821;404,96008754;-612,71207276;648,55392956;16,01782369;-56,9968261;612,71207276;404,96008754;12,54637821;56,9968261;-28,64728272;793,10398207;-612,71207276;-404,96008754;-12,54637821;-56,9968261;-16,01782369;648,55392956;612,71207276;404,96008754;12,54637821;56,9968261;28,64728272;793,10398207;612,71207276;404,96008754;12,54637821;56,9968261;16,01782369;648,55392956
7;EY;beam_x;60x80;58,83840533;9,09818695;6,6850848;-37,46433696;36,42828781;-31,96385083;-58,83840533;-9,09818695;-6,6850848;37,46433696;30,42256018;-59,01801867;-58,83840533;-9,09818695;6,6850848;37,46433696;-36,42828781;-31,96385083;58,83840533;9,09818695;-6,6850848;-37,46433696;-30,42256018;-59,01801867;58,83840533;9,09818695;6,6850848;37,46433696;36,42828781;31,96385083;58,83840533;9,09818695;6,6850848;37,46433696;30,42256018;59,01801867
8;EY;beam_x;60x80;0,0;0,0;0,66683081;-7,10693503;3,03748793;-0,0;0,0;-0,0;-0,66683081;7,10693503;3,63082017;-0,0;0,0;-0,0;0,66683081;7,10693503;-3,03748793;-0,0;0,0;0,0;-0,66683081;-7,10693503;-3,63082017;-0,0;0,0;0,0;0,66683081;7,10693503;3,03748793;0,0;0,0;0,0;0,66683081;7,10693503;3,63082017;0,0
9;EY;beam_x;60x80;-83,40329946;10,26688091;-5,55906558;-35,90541431;-30,61753737;-36,24688379;83,40329946;-10,26688091;5,55906558;35,90541431;-24,97311842;-66,42192533;83,40329946;-10,26688091;-5,55906558;35,90541431;30,61753737;-36,24688379;-83,40329946;10,26688091;5,55906558;-35,90541431;24,97311842;-66,42192533;83,40329946;10,26688091;5,55906558;35,90541431;30,61753737;36,24688379;83,40329946;10,26688091;5,55906558;35,90541431;24,97311842;66,42192533
10;EY;beam_y;60x80;14,43633291;-59,67040698;-438,80459843;-872,6362249;17,43956531;-23,33222922;-14,43633291;59,67040698;438,80459843;-718,0304444;-17,43956531;-28,99947758;-59,67040698;-14,43633291;-438,80459843;17,43956531;872,6362249;-23,33222922;59,67040698;14,43633291;438,80459843;-17,43956531;718,0304444;-28,99947758;59,67040698;14,43633291;438,80459843;17,43956531;872,6362249;23,33222922;59,67040698;14,43633291;438,80459843;17,43956531;718,0304444;28,99947758
