elementTag;caso;tipo;seccion;global_i_Fx_kN;global_i_Fy_kN;global_i_Fz_kN;global_i_Mx_kNm;global_i_My_kNm;global_i_Mz_kNm;global_j_Fx_kN;global_j_Fy_kN;global_j_Fz_kN;global_j_Mx_kNm;global_j_My_kNm;global_j_Mz_kNm;local_i_N_kN;local_i_Vy_kN;local_i_Vz_kN;local_i_T_kNm;local_i_My_kNm;local_i_Mz_kNm;local_j_N_kN;local_j_Vy_kN;local_j_Vz_kN;local_j_T_kNm;local_j_My_kNm;local_j_Mz_kNm;unity_abs_i_N_kN;unity_abs_i_Vy_kN;unity_abs_i_Vz_kN;unity_abs_i_T_kNm;unity_abs_i_My_kNm;unity_abs_i_Mz_kNm;unity_abs_j_N_kN;unity_abs_j_Vy_kN;unity_abs_j_Vz_kN;unity_abs_j_T_kNm;unity_abs_j_My_kNm;unity_abs_j_Mz_kNm
1;G;column;70x70;-12,93856892;-5,07380893;984,79111624;4,86495965;-12,49993862;0,02957937;12,93856892;5,07380893;-984,79111624;13,19780014;-33,56136672;-0,02957937;984,79111624;5,07380893;-12,93856892;0,02957937;12,49993862;4,86495965;-984,79111624;-5,07380893;12,93856892;-0,02957937;33,56136672;13,19780014;984,79111624;5,07380893;12,93856892;0,02957937;12,49993862;4,86495965;984,79111624;5,07380893;12,93856892;0,02957937;33,56136672;13,19780014
2;G;column;70x70;0,57018461;-8,58135147;2300,88632184;9,50361682;11,60172087;2,082559;-0,57018461;8,58135147;-2300,88632184;21,0459944;-9,57186366;-2,082559;2300,88632184;8,58135147;0,57018461;2,082559;-11,60172087;9,50361682;-2300,88632184;-8,58135147;-0,57018461;-2,082559;9,57186366;21,0459944;2300,88632184;8,58135147;0,57018461;2,082559;11,60172087;9,50361682;2300,88632184;8,58135147;0,57018461;2,082559;9,57186366;21,0459944
3;G;column;70x70;-23,65346936;4,95276123;1509,63631241;-7,03323693;-25,33079783;0,02957937;23,65346936;-4,95276123;-1509,63631241;-10,59859303;-58,8755531;-0,02957937;1509,63631241;-4,95276123;-23,65346936;0,02957937;25,33079783;-7,03323693;-1509,63631241;4,95276123;23,65346936;-0,02957937;58,8755531;-10,59859303;1509,63631241;4,95276123;23,65346936;0,02957937;25,33079783;7,03323693;1509,63631241;4,95276123;23,65346936;0,02957937;58,8755531;10,59859303
4;G;column;70x70;30,86991481;7,69187313;2818,35534875;-10,12386488;39,37028472;0,02957937;-30,86991481;-7,69187313;-2818,35534875;-17,25920347;70,52661201;-0,02957937;2818,35534875;-7,69187313;30,86991481;0,02957937;-39,37028472;-10,12386488;-2818,35534875;7,69187313;-30,86991481;-0,02957937;-70,52661201;-17,25920347;2818,35534875;7,69187313;30,86991481;0,02957937;39,37028472;10,12386488;2818,35534875;7,69187313;30,86991481;0,02957937;70,52661201;17,25920347
5;G;column;70x70;-17,74244942;17,01483981;1191,8472522;-21,34690352;-18,45859601;0,02957937;17,74244942;-17,01483981;-1191,8472522;-39,22592622;-44,70452392;-0,02957937;1191,8472522;-17,01483981;-17,74244942;0,02957937;18,45859601;-21,34690352;-1191,8472522;17,01483981;17,74244942;-0,02957937;44,70452392;-39,22592622;1191,8472522;17,01483981;17,74244942;0,02957937;18,45859601;21,34690352;1191,8472522;17,01483981;17,74244942;0,02957937;44,70452392;39,22592622
6;G;column;70x70;2,14558459;6,7108374;2040,36577857;-7,58070047;12,77092487;-1,38295336;-2,14558459;-6,7108374;-2040,36577857;-16,30988069;-5,13264371;1,38295336;2040,36577857;-6,7108374;2,14558459;-1,38295336;-12,77092487;-7,58070047;-2040,36577857;6,7108374;-2,14558459;1,38295336;5,13264371;-16,30988069;2040,36577857;6,7108374;2,14558459;1,38295336;12,77092487;7,58070047;2040,36577857;6,7108374;2,14558459;1,38295336;5,13264371;16,30988069
7;G;beam_x;60x80;122,69936221;0,28613588;53,46396411;-0,76019462;79,68583365;-0,92490963;-122,69936221;-0,28613588;59,13175389;0,76019462;-108,02478251;-1,93644919;-122,69936221;-0,28613588;53,46396411;0,76019462;-79,68583365;-0,92490963;122,69936221;0,28613588;59,13175389;-0,76019462;108,02478251;-1,93644919;122,69936221;0,28613588;53,46396411;0,76019462;79,68583365;0,92490963;122,69936221;0,28613588;59,13175389;0,76019462;108,02478251;1,93644919
8;G;beam_x;60x80;0,0;-0,0;100,16852777;0,84556788;160,86072808;0,0;0,0;0,0;94,97940573;-0,84556788;-134,91511791;0,0;0,0;0,0;100,16852777;-0,84556788;-160,86072808;0,0;0,0;-0,0;94,97940573;0,84556788;134,91511791;0,0;0,0;0,0;100,16852777;0,84556788;160,86072808;0,0;0,0;0,0;94,97940573;0,84556788;134,91511791;0,0
9;G;beam_x;60x80;115,9767686;-0,28426285;82,69320217;-2,16718512;122,12510934;1,07332423;-115,9767686;0,28426285;90,97137983;2,16718512;-163,51599764;1,76930422;-115,9767686;0,28426285;82,69320217;2,16718512;-122,12510934;1,07332423;115,9767686;-0,28426285;90,97137983;-2,16718512;163,51599764;1,76930422;115,9767686;0,28426285;82,69320217;2,16718512;122,12510934;1,07332423;115,9767686;0,28426285;90,97137983;2,16718512;163,51599764;1,76930422
10;G;beam_y;60x80;-2,57545216;7,01681205;-16,39248718;-43,33826847;-13,04740195;4,64803761;2,57545216;-7,01681205;50,61234768;-78,1079947;13,04740195;4,68797647;7,01681205;2,57545216;-16,39248718;-13,04740195;43,33826847;4,64803761;-7,01681205;-2,57545216;50,61234768;13,04740195;78,1079947;4,68797647;7,01681205;2,57545216;16,39248718;13,04740195;43,33826847;4,64803761;7,01681205;2,57545216;50,61234768;13,04740195;78,1079947;4,68797647
