elementTag;caso;tipo;seccion;global_i_Fx_kN;global_i_Fy_kN;global_i_Fz_kN;global_i_Mx_kNm;global_i_My_kNm;global_i_Mz_kNm;global_j_Fx_kN;global_j_Fy_kN;global_j_Fz_kN;global_j_Mx_kNm;global_j_My_kNm;global_j_Mz_kNm;local_i_N_kN;local_i_Vy_kN;local_i_Vz_kN;local_i_T_kNm;local_i_My_kNm;local_i_Mz_kNm;local_j_N_kN;local_j_Vy_kN;local_j_Vz_kN;local_j_T_kNm;local_j_My_kNm;local_j_Mz_kNm;unity_abs_i_N_kN;unity_abs_i_Vy_kN;unity_abs_i_Vz_kN;unity_abs_i_T_kNm;unity_abs_i_My_kNm;unity_abs_i_Mz_kNm;unity_abs_j_N_kN;unity_abs_j_Vy_kN;unity_abs_j_Vz_kN;unity_abs_j_T_kNm;unity_abs_j_My_kNm;unity_abs_j_Mz_kNm
1;Q;column;70x70;-9,20129281;-1,03756129;281,27522884;0,81245074;-9,92998689;0,00801778;9,20129281;1,03756129;-281,27522884;2,88126746;-22,82661553;-0,00801778;281,27522884;1,03756129;-9,20129281;0,00801778;9,92998689;0,81245074;-281,27522884;-1,03756129;9,20129281;-0,00801778;22,82661553;2,88126746;281,27522884;1,03756129;9,20129281;0,00801778;9,92998689;0,81245074;281,27522884;1,03756129;9,20129281;0,00801778;22,82661553;2,88126746
2;Q;column;70x70;1,0093458;-2,25328031;695,92625891;2,23552734;4,54198689;0,56698151;-1,0093458;2,25328031;-695,92625891;5,78615057;-0,94871583;-0,56698151;695,92625891;2,25328031;1,0093458;0,56698151;-4,54198689;2,23552734;-695,92625891;-2,25328031;-1,0093458;-0,56698151;0,94871583;5,78615057;695,92625891;2,25328031;1,0093458;0,56698151;4,54198689;2,23552734;695,92625891;2,25328031;1,0093458;0,56698151;0,94871583;5,78615057
3;Q;column;70x70;-16,59662244;2,3412258;547,10103868;-3,19704328;-18,73717869;0,00801778;16,59662244;-2,3412258;-547,10103868;-5,13772057;-40,34679718;-0,00801778;547,10103868;-2,3412258;-16,59662244;0,00801778;18,73717869;-3,19704328;-547,10103868;2,3412258;16,59662244;-0,00801778;40,34679718;-5,13772057;547,10103868;2,3412258;16,59662244;0,00801778;18,73717869;3,19704328;547,10103868;2,3412258;16,59662244;0,00801778;40,34679718;5,13772057
4;Q;column;70x70;19,34949605;2,76957399;1167,12562652;-3,66203856;23,91888191;0,00801778;-19,34949605;-2,76957399;-1167,12562652;-6,19764486;44,96532403;-0,00801778;1167,12562652;-2,76957399;19,34949605;0,00801778;-23,91888191;-3,66203856;-1167,12562652;2,76957399;-19,34949605;-0,00801778;-44,96532403;-6,19764486;1167,12562652;2,76957399;19,34949605;0,00801778;23,91888191;3,66203856;1167,12562652;2,76957399;19,34949605;0,00801778;44,96532403;6,19764486
5;Q;column;70x70;-13,07804446;6,33532025;398,66229472;-7,93670203;-14,60034651;0,00801778;13,07804446;-6,33532025;-398,66229472;-14,61703807;-31,95749179;-0,00801778;398,66229472;-6,33532025;-13,07804446;0,00801778;14,60034651;-7,93670203;-398,66229472;6,33532025;13,07804446;-0,00801778;31,95749179;-14,61703807;398,66229472;6,33532025;13,07804446;0,00801778;14,60034651;7,93670203;398,66229472;6,33532025;13,07804446;0,00801778;31,95749179;14,61703807
6;Q;column;70x70;1,86350089;1,74798537;715,20647876;-1,55922728;5,86608869;-0,38583577;-1,86350089;-1,74798537;-715,20647876;-4,66360065;0,7679745;0,38583577;715,20647876;-1,74798537;1,86350089;-0,38583577;-5,86608869;-1,55922728;-715,20647876;1,74798537;-1,86350089;0,38583577;-0,7679745;-4,66360065;715,20647876;1,74798537;1,86350089;0,38583577;5,86608869;1,55922728;715,20647876;1,74798537;1,86350089;0,38583577;0,7679745;4,66360065
7;Q;beam_x;60x80;35,80598647;0,08606508;39,12288564;-0,35097315;58,22776482;-0,29261974;-35,80598647;-0,08606508;42,29711436;0,35097315;-74,09890841;-0,56803111;-35,80598647;-0,08606508;39,12288564;0,35097315;-58,22776482;-0,29261974;35,80598647;0,08606508;42,29711436;-0,35097315;74,09890841;-0,56803111;35,80598647;0,08606508;39,12288564;0,35097315;58,22776482;0,29261974;35,80598647;0,08606508;42,29711436;0,35097315;74,09890841;0,56803111
8;Q;beam_x;60x80;0,0;0,0;71,86437775;0,14091186;114,41551301;-0,0;0,0;-0,0;69,25062225;-0,14091186;-101,34673555;-0,0;0,0;-0,0;71,86437775;-0,14091186;-114,41551301;-0,0;0,0;0,0;69,25062225;0,14091186;101,34673555;-0,0;0,0;0,0;71,86437775;0,14091186;114,41551301;0,0;0,0;0,0;69,25062225;0,14091186;101,34673555;0,0
9;Q;beam_x;60x80;41,58961365;-0,10695355;60,42805034;-0,84698432;90,04831735;0,43773842;-41,58961365;0,10695355;65,15194966;0,84698432;-113,66781397;0,63179706;-41,58961365;0,10695355;60,42805034;0,84698432;-90,04831735;0,43773842;41,58961365;-0,10695355;65,15194966;-0,84698432;113,66781397;0,63179706;41,58961365;0,10695355;60,42805034;0,84698432;90,04831735;0,43773842;41,58961365;0,10695355;65,15194966;0,84698432;113,66781397;0,63179706
10;Q;beam_y;60x80;-0,85801186;2,5449331;1,04369267;-10,7429768;-8,13630524;1,54964227;0,85801186;-2,5449331;23,70130733;-30,32394977;8,13630524;1,56065071;2,5449331;0,85801186;1,04369267;-8,13630524;10,7429768;1,54964227;-2,5449331;-0,85801186;23,70130733;8,13630524;30,32394977;1,56065071;2,5449331;0,85801186;1,04369267;8,13630524;10,7429768;1,54964227;2,5449331;0,85801186;23,70130733;8,13630524;30,32394977;1,56065071
11;Q;beam_y;60x80;-3,2061199;-3,64644293;-21,76510762;-48,35258311;-3,6083825;5,43200492;3,2061199;3,64644293;46,51010762;-75,3962445;3,6083825;6,19017971;-3,64644293;3,2061199;-21,76510762;-3,6083825;48,35258311;5,43200492;3,64644293;-3,2061199;46,51010762;3,6083825;75,3962445;6,19017971;3,64644293;3,2061199;21,76510762;3,6083825;48,35258311;5,43200492;3,64644293;3,2061199;46,51010762;3,6083825;75,3962445;6,19017971
12;Q;beam_y;60x80;-0,23177778;-0,26332202;11,0632651;-3,40179861;-8,69439099;0,66911978;0,23177778;0,26332202;25,04682619;-37,32532307;8,69439099;0,6809858;-0,26332202;0,23177778;11,0632651;-8,69439099;3,40179861;0,66911978;0,26332202;-0,23177778;25,04682619;8,69439099;37,32532307;0,6809858;0,26332202;0,23177778;11,0632651;8,69439099;3,40179861;0,66911978;0,26332202;0,23177778;25,04682619;8,69439099;37,32532307;0,6809858
13;Q;beam_y;60x80;-0,59589698;-13,04585485;-13,63786546;-54,72294502;11,19297085;1,31922742;0,59589698;13,04585485;41,22411546;-67,34496252;-11,19297085;1,33251414;-13,04585485;0,59589698;-13,63786546;11,19297085;54,72294502;1,31922742;13,04585485;-0,59589698;41,22411546;-11,19297085;67,34496252;1,33251414;13,04585485;0,59589698;13,63786546;11,19297085;54,72294502;1,31922742;13,04585485;0,59589698;41,22411546;11,19297085;67,34496252;1,33251414
14;Q;column;70x70;-14,94505331;-6,6867315;241,10865052;8,21268249;-27,26484405;0,023724;14,94505331;6,6867315;-241,10865052;15,59208166;-25,93954574;-0,023724;241,10865052;6,6867315;-14,94505331;0,023724;27,26484405;8,21268249;-241,10865052;-6,6867315;14,94505331;-0,023724;25,93954574;15,59208166;241,10865052;6,6867315;14,94505331;0,023724;27,26484405;8,21268249;241,10865052;6,6867315;14,94505331;0,023724;25,93954574;15,59208166
15;Q;column;70x70;-16,56430732;1,48417686;726,47830146;0,189387;-24,13578217;-0,53523973;16,56430732;-1,48417686;-726,47830146;-5,47305661;-34,8331519;0,53523973;726,47830146;-1,48417686;-16,56430732;-0,53523973;24,13578217;0,189387;-726,47830146;1,48417686;16,56430732;0,53523973;34,8331519;-5,47305661;726,47830146;1,48417686;16,56430732;0,53523973;24,13578217;0,189387;726,47830146;1,48417686;16,56430732;0,53523973;34,8331519;5,47305661
16;Q;column;70x70;-27,98516696;14,70242732;472,35584895;-21,17861333;-51,54501427;0,023724;27,98516696;-14,70242732;-472,35584895;-31,16202793;-48,08218011;-0,023724;472,35584895;-14,70242732;-27,98516696;0,023724;51,54501427;-21,17861333;-472,35584895;14,70242732;27,98516696;-0,023724;48,08218011;-31,16202793;472,35584895;14,70242732;27,98516696;0,023724;51,54501427;21,17861333;472,35584895;14,70242732;27,98516696;0,023724;48,08218011;31,16202793
17;Q;column;70x70;6,01477346;8,75995938;1143,77881559;-14,593659;31,4576423;0,023724;-6,01477346;-8,75995938;-1143,77881559;-16,5917964;-10,04504877;-0,023724;1143,77881559;-8,75995938;6,01477346;0,023724;-31,4576423;-14,593659;-1143,77881559;8,75995938;-6,01477346;-0,023724;10,04504877;-16,5917964;1143,77881559;8,75995938;6,01477346;0,023724;31,4576423;14,593659;1143,77881559;8,75995938;6,01477346;0,023724;10,04504877;16,5917964
