caso,piso,z_m,G_kN,Q_kN,W_kN,masa_kg,F_X_kN,F_Y_kN,CM_x_m,CM_y_m,ux_mm,uy_mm,Rz_rad
EX,Piso 1,3.56,9711.9,2503.59,10963.7,1117604.044,2192.74,0.0,8.5456,8.0433,0.71,-0.01,-8.9573e-08
EX,Piso 2,7.12,14921.67,4565.03,17204.18,1753739.3,3440.84,0.0,-4.6251,7.7433,2.345,-0.006,-9.50733e-07
EX,Piso 3,10.68,15325.41,4986.43,17818.63,1816373.787,3563.73,0.0,-5.8821,7.6184,4.281,0.005,-6.78383e-07
EX,Piso 4,14.24,16584.42,5274.04,19221.44,1959372.314,3844.29,0.0,-8.0842,7.7674,6.06,0.017,-8.3129e-07
EX,Techo,17.8,15361.78,5368.48,18046.02,1839553.323,3609.2,0.0,-8.5617,7.8238,7.537,0.029,-1.696796e-06
EY,Piso 1,3.56,9711.9,2503.59,10963.7,1117604.044,0.0,2192.74,8.5456,8.0433,-0.01,4.878,2.8661303e-05
EY,Piso 2,7.12,14921.67,4565.03,17204.18,1753739.3,0.0,3440.84,-4.6251,7.7433,0.065,10.249,8.8536789e-05
EY,Piso 3,10.68,15325.41,4986.43,17818.63,1816373.787,0.0,3563.73,-5.8821,7.6184,-0.007,17.94,6.3993451e-05
EY,Piso 4,14.24,16584.42,5274.04,19221.44,1959372.314,0.0,3844.29,-8.0842,7.7674,-0.022,23.734,4.0811113e-05
EY,Techo,17.8,15361.78,5368.48,18046.02,1839553.323,0.0,3609.2,-8.5617,7.8238,0.014,26.975,3.7083442e-05
