curva;seccion;modelo;punto;P_kN;M_kNm
pm_25x158;25x158;fiber;1;-2573,0;0,0
pm_25x158;25x158;fiber;2;0,0;3565,951758926052
pm_25x158;25x158;fiber;3;1828,6061247784053;4528,5668158227045
pm_25x158;25x158;fiber;4;3657,2122495568105;5245,23501789142
pm_25x158;25x158;fiber;5;5485,818374335216;5370,2459307029
pm_25x158;25x158;fiber;6;7314,424499113621;4889,337736319891
pm_25x158;25x158;fiber;7;9143,030623892026;4402,3945315312385
pm_25x158;25x158;fiber;8;10971,636748670431;3766,832435079551
pm_25x158;25x158;fiber;9;12800,242873448835;2945,0778353631404
pm_25x158;25x158;fiber;10;14628,848998227242;2056,185384683221
pm_25x158;25x158;fiber;11;15543,152060616443;1590,5357568100274
pm_25x158;25x158;fiber;12;16457,455123005646;1110,1333777112402
pm_25x158;25x158;fiber;13;17006,036960439167;802,7328432529329
pm_25x158;25x158;fiber;14;17371,758185394847;587,6251810418543
pm_25x158;25x158;fiber;15;17737,47941035053;360,7855833248661
pm_25x158;25x158;fiber;16;17920,34002282837;244,4329001537831
pm_25x158;25x158;fiber;17;18103,20063530621;124,56690659176823
pm_25x158;25x158;fiber;18;18286,1;0,0
pm_25x282;25x282;fiber;1;-5014,0;0,0
pm_25x282;25x282;fiber;2;0,0;12571,979337127346
pm_25x282;25x282;fiber;3;3347,145912868243;15640,40033025005
pm_25x282;25x282;fiber;4;6694,291825736486;17906,931666614575
pm_25x282;25x282;fiber;5;10041,437738604729;18030,994738659945
pm_25x282;25x282;fiber;6;13388,583651472973;16368,641518629767
pm_25x282;25x282;fiber;7;16735,729564341214;14662,519078505684
pm_25x282;25x282;fiber;8;20082,875477209458;12518,054840129402
pm_25x282;25x282;fiber;9;23430,021390077698;9786,918603551901
pm_25x282;25x282;fiber;10;26777,167302945945;6845,281808396527
pm_25x282;25x282;fiber;11;28450,740259380065;5307,769258046613
pm_25x282;25x282;fiber;12;30124,313215814185;3702,6751056275416
pm_25x282;25x282;fiber;13;31128,45698967466;2685,9068608234716
pm_25x282;25x282;fiber;14;31797,886172248305;1969,216114218092
pm_25x282;25x282;fiber;15;32467,315354821956;1208,6303639443129
pm_25x282;25x282;fiber;16;32802,02994610878;816,4501393584954
pm_25x282;25x282;fiber;17;33136,74453739561;415,80705717390526
pm_25x282;25x282;fiber;18;33471,5;0,0
pm_25x365;25x365;fiber;1;-6267,5;0,0
pm_25x365;25x365;fiber;2;0,0;20348,957649437107
pm_25x365;25x365;fiber;3;4293,30739691083;25495,243190887464
pm_25x365;25x365;fiber;4;8586,61479382166;29285,44446095304
pm_25x365;25x365;fiber;5;12879,92219073249;29649,521151467015
pm_25x365;25x365;fiber;6;17173,22958764332;26955,872944947892
pm_25x365;25x365;fiber;7;21466,53698455415;24188,04119972504
pm_25x365;25x365;fiber;8;25759,84438146498;20661,834220024128
pm_25x365;25x365;fiber;9;30053,151778375806;16167,185804999042
pm_25x365;25x365;fiber;10;34346,45917528664;11299,991799414523
pm_25x365;25x365;fiber;11;36493,11287374205;8762,74484797379
pm_25x365;25x365;fiber;12;38639,76657219747;6105,924114063468
pm_25x365;25x365;fiber;13;39927,758791270724;4424,336501598403
pm_25x365;25x365;fiber;14;40786,42027065288;3236,9183375387024
pm_25x365;25x365;fiber;15;41645,08175003505;1988,1436378861831
pm_25x365;25x365;fiber;16;42074,412489726135;1342,9777695474268
pm_25x365;25x365;fiber;17;42503,74322941722;685,2339133548271
pm_25x365;25x365;fiber;18;42933,1;0,0
pm_25x585;25x585;fiber;1;-8972,4;0,0
pm_25x585;25x585;fiber;2;0,0;46323,34729194673
pm_25x585;25x585;fiber;3;6676,979651696187;59358,78126337304
pm_25x585;25x585;fiber;4;13353,959303392374;69063,71501361675
pm_25x585;25x585;fiber;5;20030,93895508856;71172,31946188616
pm_25x585;25x585;fiber;6;26707,918606784748;65134,577753201724
pm_25x585;25x585;fiber;7;33384,898258480935;58825,91439414694
pm_25x585;25x585;fiber;8;40061,87791017712;50417,18295465092
pm_25x585;25x585;fiber;9;46738,85756187331;39468,77713156303
pm_25x585;25x585;fiber;10;53415,837213569495;27544,384055542894
pm_25x585;25x585;fiber;11;56754,327039417585;21324,76960087693
pm_25x585;25x585;fiber;12;60092,81686526568;14823,690971620506
pm_25x585;25x585;fiber;13;62095,91076077454;10700,41537944431
pm_25x585;25x585;fiber;14;63431,30669111377;7801,123866529929
pm_25x585;25x585;fiber;15;64766,70262145301;4802,333008051264
pm_25x585;25x585;fiber;16;65434,40058662263;3229,3027294479944
