caso;representante;elementTag;tipo;seccion;piso;L_m;x_local_m;N_kN;V_kN;M_kNm
COMBO;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,0;0,0;-124,9343;776,5919
COMBO;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,0445;0,0;-125,7853;771,0134
COMBO;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,089;0,0;-126,6363;765,397
COMBO;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,1335;0,0;-127,4874;759,7428
COMBO;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,178;0,0;-128,3384;754,0507
COMBO;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,2225;0,0;-129,1894;748,3207
COMBO;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,267;0,0;-130,0405;742,5528
COMBO;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,3115;0,0;-130,8915;736,7471
COMBO;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,356;0,0;-131,7425;730,9035
COMBO;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,4005;0,0;-132,5936;725,022
COMBO;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,445;0,0;-133,4446;719,1026
COMBO;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,4895;0,0;-134,2956;713,1454
COMBO;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,534;0,0;-135,1467;707,1503
COMBO;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,5785;0,0;-135,9977;701,1173
COMBO;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,623;0,0;-136,8487;695,0465
COMBO;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,6675;0,0;-137,6998;688,9378
COMBO;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,712;0,0;-138,5508;682,7912
COMBO;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,7565;0,0;-139,4018;676,6068
