caso;representante;elementTag;tipo;seccion;piso;L_m;x_local_m;N_kN;V_kN;M_kNm
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,0;0,0;-0,005;0,0871
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,0445;0,0;-0,005;0,0868
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,089;0,0;-0,005;0,0866
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,1335;0,0;-0,005;0,0864
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,178;0,0;-0,005;0,0862
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,2225;0,0;-0,005;0,0859
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,267;0,0;-0,005;0,0857
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,3115;0,0;-0,005;0,0855
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,356;0,0;-0,005;0,0853
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,4005;0,0;-0,005;0,085
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,445;0,0;-0,005;0,0848
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,4895;0,0;-0,005;0,0846
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,534;0,0;-0,005;0,0844
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,5785;0,0;-0,005;0,0841
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,623;0,0;-0,005;0,0839
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,6675;0,0;-0,005;0,0837
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,712;0,0;-0,005;0,0835
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,7565;0,0;-0,005;0,0832
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,801;0,0;-0,005;0,083
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,8455;0,0;-0,005;0,0828
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,89;0,0;-0,005;0,0826
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,9345;0,0;-0,005;0,0823
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,979;0,0;-0,005;0,0821
