caso;representante;elementTag;tipo;seccion;piso;L_m;x_local_m;N_kN;V_kN;M_kNm
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,0;0,0;-155,417;660,3411
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,0445;0,0;-155,417;653,4251
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,089;0,0;-155,417;646,509
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,1335;0,0;-155,417;639,5929
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,178;0,0;-155,417;632,6769
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,2225;0,0;-155,417;625,7608
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,267;0,0;-155,417;618,8448
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,3115;0,0;-155,417;611,9287
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,356;0,0;-155,417;605,0127
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,4005;0,0;-155,417;598,0966
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,445;0,0;-155,417;591,1805
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,4895;0,0;-155,417;584,2645
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,534;0,0;-155,417;577,3484
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,5785;0,0;-155,417;570,4324
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,623;0,0;-155,417;563,5163
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,6675;0,0;-155,417;556,6002
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,712;0,0;-155,417;549,6842
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,7565;0,0;-155,417;542,7681
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,801;0,0;-155,417;535,8521
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,8455;0,0;-155,417;528,936
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,89;0,0;-155,417;522,02
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,9345;0,0;-155,417;515,1039
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,979;0,0;-155,417;508,1878
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,0235;0,0;-155,417;501,2718
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,068;0,0;-155,417;494,3557
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,1125;0,0;-155,417;487,4397
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,157;0,0;-155,417;480,5236
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,2015;0,0;-155,417;473,6076
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,246;0,0;-155,417;466,6915
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,2905;0,0;-155,417;459,7754
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,335;0,0;-155,417;452,8594
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,3795;0,0;-155,417;445,9433
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,424;0,0;-155,417;439,0273
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,4685;0,0;-155,417;432,1112
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,513;0,0;-155,417;425,1951
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,5575;0,0;-155,417;418,2791
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,602;0,0;-155,417;411,363
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,6465;0,0;-155,417;404,447
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,691;0,0;-155,417;397,5309
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,7355;0,0;-155,417;390,6149
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,78;0,0;-155,417;383,6988
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,8245;0,0;-155,417;376,7827
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,869;0,0;-155,417;369,8667
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,9135;0,0;-155,417;362,9506
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,958;0,0;-155,417;356,0346
EY;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,0025;0,0;-155,417;349,1185
