caso;representante;elementTag;tipo;seccion;piso;L_m;x_local_m;N_kN;V_kN;M_kNm
G;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,0;0,0;49,3794;-81,7994
G;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,0445;0,0;48,9369;-79,6118
G;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,089;0,0;48,4944;-77,444
G;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,1335;0,0;48,0519;-75,2958
G;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,178;0,0;47,6093;-73,1674
G;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,2225;0,0;47,1668;-71,0586
G;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,267;0,0;46,7243;-68,9695
G;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,3115;0,0;46,2817;-66,9001
G;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,356;0,0;45,8392;-64,8504
G;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,4005;0,0;45,3967;-62,8205
G;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,445;0,0;44,9542;-60,8101
G;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,4895;0,0;44,5116;-58,8195
G;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,534;0,0;44,0691;-56,8486
G;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,5785;0,0;43,6266;-54,8974
G;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,623;0,0;43,1841;-52,9658
G;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,6675;0,0;42,7415;-51,054
G;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,712;0,0;42,299;-49,1618
G;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,7565;0,0;41,8565;-47,2894
G;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,801;0,0;41,4139;-45,4366
G;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,8455;0,0;40,9714;-43,6035
G;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,89;0,0;40,5289;-41,7902
G;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,9345;0,0;40,0864;-39,9965
G;viga;147;beam_y;60x80;Piso 3;8,899999999999999;0,979;0,0;39,6438;-38,2225
G;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,0235;0,0;39,2013;-36,4682
G;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,068;0,0;38,7588;-34,7336
G;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,1125;0,0;38,3162;-33,0186
G;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,157;0,0;37,8737;-31,3234
G;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,2015;0,0;37,4312;-29,6479
G;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,246;0,0;36,9887;-27,992
G;viga;147;beam_y;60x80;Piso 3;8,899999999999999;1,2905;0,0;36,5461;-26,3559
