elementTag;type;section;area_tributaria_m2;W_losa_G_kN;p_G_kN_m;W_losa_Q_kN;p_Q_kN_m
7;beam_x;60x80;20,355;112,595718;11,259572;81,42;8,142
8;beam_x;60x80;35,27875;195,147933;19,514793;141,115;14,1115
9;beam_x;60x80;31,395;173,664582;17,366458;125,58;12,558
10;beam_y;60x80;12,3725;68,439721;9,439962;49,49;6,826207
11;beam_y;60x80;12,3725;68,439721;9,439962;49,49;6,826207
12;beam_y;60x80;13,793125;76,29805;8,572815;55,1725;6,199157
13;beam_y;60x80;13,793125;76,29805;8,572815;55,1725;6,199157
20;beam_x;60x80;20,355;112,595718;11,259572;81,42;8,142
21;beam_x;60x80;35,27875;195,147933;19,514793;141,115;14,1115
22;beam_x;60x80;31,395;173,664582;17,366458;125,58;12,558
23;beam_y;60x80;12,3725;68,439721;9,439962;49,49;6,826207
24;beam_y;60x80;24,2475;134,127471;18,500341;96,99;13,377931
25;beam_y;60x80;13,793125;76,29805;8,572815;55,1725;6,199157
26;beam_y;60x80;29,793125;164,80365;18,517264;119,1725;13,390169
33;beam_x;60x80;20,355;112,595718;11,259572;81,42;8,142
34;beam_x;60x80;35,27875;195,147933;19,514793;141,115;14,1115
35;beam_x;60x80;31,395;173,664582;17,366458;125,58;12,558
36;beam_y;60x80;12,3725;68,439721;9,439962;49,49;6,826207
37;beam_y;60x80;24,2475;134,127471;18,500341;96,99;13,377931
38;beam_y;60x80;13,793125;76,29805;8,572815;55,1725;6,199157
39;beam_y;60x80;29,793125;164,80365;18,517264;119,1725;13,390169
46;beam_x;60x80;20,355;112,595718;11,259572;81,42;8,142
47;beam_x;60x80;35,27875;195,147933;19,514793;141,115;14,1115
48;beam_x;60x80;31,395;173,664582;17,366458;125,58;12,558
49;beam_y;60x80;12,3725;68,439721;9,439962;49,49;6,826207
50;beam_y;60x80;19,1375;105,860995;14,601517;76,55;10,558621
51;beam_y;60x80;13,793125;76,29805;8,572815;55,1725;6,199157
52;beam_y;60x80;29,793125;164,80365;18,517264;119,1725;13,390169
59;beam_x;60x80;23,109375;127,831819;12,783182;92,4375;9,24375
60;beam_x;60x80;47,806875;264,44851;26,444851;191,2275;19,12275
61;beam_x;60x80;24,6975;136,616691;13,661669;98,79;9,879
62;beam_y;60x80;13,140625;72,688681;10,026025;52,5625;7,25
63;beam_y;60x80;25,015625;138,376431;19,086404;100,0625;13,801724
64;beam_y;60x80;19,8025;109,539509;12,30781;79,21;8,9
65;beam_y;60x80;35,8025;198,045109;22,252259;143,21;16,091011
114;beam_x;60x80;12,5;69,145;6,9145;50,0;5,0
115;beam_x;60x80;12,5;69,145;6,9145;50,0;5,0
116;beam_x;60x80;0,0;0,0;0,0;0,0;0,0
117;beam_x;60x80;25,0;138,29;13,829;100,0;10,0
118;beam_x;60x80;25,0;138,29;13,829;100,0;10,0
119;beam_x;60x80;0,0;0,0;0,0;0,0;0,0
120;beam_x;60x80;12,5;69,145;6,9145;50,0;5,0
121;beam_x;60x80;12,5;69,145;6,9145;50,0;5,0
122;beam_x;60x80;0,0;0,0;0,0;0,0;0,0
123;beam_y;60x80;19,398725;107,305987;14,800826;77,5949;10,702745
124;beam_y;60x80;32,0;177,0112;19,888899;128,0;14,382022
125;beam_y;60x80;23,75;131,3755;18,120759;95,0;13,103448
126;beam_y;60x80;32,0;177,0112;19,888899;128,0;14,382022
127;beam_y;60x80;11,875;65,68775;9,060379;47,5;6,551724
128;beam_y;60x80;16,0;88,5056;9,944449;64,0;7,191011
129;beam_y;60x80;0,0;0,0;0,0;0,0;0,0
130;beam_y;60x80;0,0;0,0;0,0;0,0;0,0
